Labels,EmScan24,
Type,Emission Scan,
Comment,,
Start,470.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.25,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

470.00,5.97042383E+4,
471.00,6.83806406E+4,
472.00,7.70171641E+4,
473.00,8.86012500E+4,
474.00,9.95477656E+4,
475.00,1.13200164E+5,
476.00,1.25764094E+5,
477.00,1.42438719E+5,
478.00,1.58023172E+5,
479.00,1.74442781E+5,
480.00,1.92983063E+5,
481.00,2.10936047E+5,
482.00,2.32092828E+5,
483.00,2.53683672E+5,
484.00,2.72427469E+5,
485.00,2.91416438E+5,
486.00,3.10290750E+5,
487.00,3.30377969E+5,
488.00,3.51957969E+5,
489.00,3.67925563E+5,
490.00,3.85475219E+5,
491.00,4.00907156E+5,
492.00,4.18465719E+5,
493.00,4.35802906E+5,
494.00,4.50058375E+5,
495.00,4.62316156E+5,
496.00,4.69814344E+5,
497.00,4.83993688E+5,
498.00,4.99739219E+5,
499.00,5.11319188E+5,
500.00,5.21315938E+5,
501.00,5.28404813E+5,
502.00,5.36075625E+5,
503.00,5.45100938E+5,
504.00,5.51511625E+5,
505.00,5.58286125E+5,
506.00,5.64746688E+5,
507.00,5.72186000E+5,
508.00,5.76532375E+5,
509.00,5.79663250E+5,
510.00,5.81793188E+5,
511.00,5.86362063E+5,
512.00,5.88403313E+5,
513.00,5.93038750E+5,
514.00,5.93596313E+5,
515.00,5.95501125E+5,
516.00,5.95137438E+5,
517.00,5.96139313E+5,
518.00,5.96293375E+5,
519.00,5.99034625E+5,
520.00,5.94619063E+5,
521.00,5.94690500E+5,
522.00,5.92264125E+5,
523.00,5.88229750E+5,
524.00,5.88116125E+5,
525.00,5.84722125E+5,
526.00,5.82051563E+5,
527.00,5.79627875E+5,
528.00,5.76971500E+5,
529.00,5.71391063E+5,
530.00,5.63827688E+5,
531.00,5.59219875E+5,
532.00,5.54930875E+5,
533.00,5.51130938E+5,
534.00,5.45167125E+5,
535.00,5.41142813E+5,
536.00,5.36090438E+5,
537.00,5.29780625E+5,
538.00,5.24151594E+5,
539.00,5.15278063E+5,
540.00,5.05053781E+5,
541.00,4.97345219E+5,
542.00,4.88829313E+5,
543.00,4.82500531E+5,
544.00,4.77209063E+5,
545.00,4.67808750E+5,
546.00,4.59269250E+5,
547.00,4.51210656E+5,
548.00,4.43152094E+5,
549.00,4.36672656E+5,
550.00,4.29318313E+5,
551.00,4.24595938E+5,
552.00,4.17073969E+5,
553.00,4.10609688E+5,
554.00,3.99389375E+5,
555.00,3.92340594E+5,
556.00,3.86405031E+5,
557.00,3.79247469E+5,
558.00,3.75316938E+5,
559.00,3.66257875E+5,
560.00,3.59225688E+5,
561.00,3.48670781E+5,
562.00,3.36657563E+5,
563.00,3.31638656E+5,
564.00,3.25157875E+5,
565.00,3.17762375E+5,
566.00,3.10348250E+5,
567.00,3.03000719E+5,
568.00,2.96080375E+5,
569.00,2.91439875E+5,
570.00,2.85318281E+5,
571.00,2.79187594E+5,
572.00,2.71297500E+5,
573.00,2.64347563E+5,
574.00,2.59375281E+5,
575.00,2.53403453E+5,
576.00,2.48715844E+5,
577.00,2.43833438E+5,
578.00,2.37892703E+5,
579.00,2.29913438E+5,
580.00,2.24510453E+5,
581.00,2.20243813E+5,
582.00,2.14922203E+5,
583.00,2.07794656E+5,
584.00,2.02080969E+5,
585.00,1.96569609E+5,
586.00,1.90713109E+5,
587.00,1.85233703E+5,
588.00,1.80028891E+5,
589.00,1.76633891E+5,
590.00,1.73046141E+5,
591.00,1.68343984E+5,
592.00,1.62548859E+5,
593.00,1.60757484E+5,
594.00,1.56023438E+5,
595.00,1.50995406E+5,
596.00,1.48309531E+5,
597.00,1.43784484E+5,
598.00,1.39612609E+5,
599.00,1.37455578E+5,
600.00,1.35101188E+5,
601.00,1.30697383E+5,
602.00,1.27252930E+5,
603.00,1.24616602E+5,
604.00,1.20432594E+5,
605.00,1.17233594E+5,
606.00,1.13700063E+5,
607.00,1.11218641E+5,
608.00,1.07200109E+5,
609.00,1.05173984E+5,
610.00,1.01861250E+5,
611.00,9.97390625E+4,
612.00,9.77662813E+4,
613.00,9.53051094E+4,
614.00,9.25430000E+4,
615.00,8.92015625E+4,
616.00,8.65063203E+4,
617.00,8.42128984E+4,
618.00,8.54222891E+4,
619.00,8.31896406E+4,
620.00,7.95952266E+4,
621.00,7.56685000E+4,
622.00,7.40763438E+4,
623.00,7.17909766E+4,
624.00,6.94624766E+4,
625.00,6.82100234E+4,
626.00,6.59473906E+4,
627.00,6.45211797E+4,
628.00,6.19308242E+4,
629.00,6.00009258E+4,
630.00,5.96158047E+4,
631.00,5.76046602E+4,
632.00,5.51880547E+4,
633.00,5.38382773E+4,
634.00,5.27758438E+4,
635.00,5.07518633E+4,
636.00,4.96924727E+4,
637.00,4.85266523E+4,
638.00,4.66023477E+4,
639.00,4.60796680E+4,
640.00,4.48840117E+4,
641.00,4.37257109E+4,
642.00,4.11434063E+4,
643.00,4.06686328E+4,
644.00,4.07411914E+4,
645.00,3.90872109E+4,
646.00,3.78290586E+4,
647.00,3.68379297E+4,
648.00,3.60132305E+4,
649.00,3.32235273E+4,
650.00,3.37169531E+4,
651.00,3.27603555E+4,
652.00,3.12890645E+4,
653.00,3.05273613E+4,
654.00,2.92532637E+4,
655.00,2.91340117E+4,
656.00,2.87127246E+4,
657.00,2.71925391E+4,
658.00,2.71876680E+4,
659.00,2.74993750E+4,
660.00,2.98408301E+4,
661.00,3.18032637E+4,
662.00,3.11155371E+4,
663.00,2.81059414E+4,
664.00,2.40118477E+4,
665.00,2.27853418E+4,
666.00,2.14549512E+4,
667.00,2.04328164E+4,
668.00,2.10590527E+4,
669.00,2.01314746E+4,
670.00,1.94139746E+4,
671.00,1.86293867E+4,
672.00,1.90477109E+4,
673.00,1.79924219E+4,
674.00,1.79451152E+4,
675.00,1.76076660E+4,
676.00,1.71847891E+4,
677.00,1.62002031E+4,
678.00,1.62246641E+4,
679.00,1.58053809E+4,
680.00,1.31853613E+4,
681.00,1.36039912E+4,
682.00,1.23626162E+4,
683.00,1.29219678E+4,
684.00,1.20159727E+4,
685.00,1.16318418E+4,
686.00,1.16508955E+4,
687.00,1.10407627E+4,
688.00,1.10327490E+4,
689.00,1.08030449E+4,
690.00,1.04044463E+4,
691.00,9.64656445E+3,
692.00,9.70067676E+3,
693.00,9.71968164E+3,
694.00,9.38091406E+3,
695.00,9.04517578E+3,
696.00,8.68791602E+3,
697.00,8.19769629E+3,
698.00,7.89674658E+3,
699.00,7.75711670E+3,
700.00,8.18245850E+3,
