Labels,EmScan2,
Type,Emission Scan,
Comment,,
Start,470.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

470.00,9.68264648E+3,
471.00,1.09725693E+4,
472.00,1.22003506E+4,
473.00,1.44363906E+4,
474.00,1.62255107E+4,
475.00,1.77253730E+4,
476.00,2.03014824E+4,
477.00,2.28434961E+4,
478.00,2.52451250E+4,
479.00,2.81301055E+4,
480.00,3.07894160E+4,
481.00,3.37086953E+4,
482.00,3.68482188E+4,
483.00,3.99618281E+4,
484.00,4.35732266E+4,
485.00,4.62809141E+4,
486.00,5.00767461E+4,
487.00,5.29447734E+4,
488.00,5.63857891E+4,
489.00,5.83260313E+4,
490.00,6.21422422E+4,
491.00,6.51196875E+4,
492.00,6.74458750E+4,
493.00,7.04508984E+4,
494.00,7.28197500E+4,
495.00,7.55567578E+4,
496.00,7.69710078E+4,
497.00,7.90335391E+4,
498.00,8.09679297E+4,
499.00,8.35338672E+4,
500.00,8.44770078E+4,
501.00,8.61531406E+4,
502.00,8.76917266E+4,
503.00,8.93726172E+4,
504.00,8.93040469E+4,
505.00,9.19501719E+4,
506.00,9.31347578E+4,
507.00,9.36304766E+4,
508.00,9.47226250E+4,
509.00,9.51487969E+4,
510.00,9.58579766E+4,
511.00,9.68371797E+4,
512.00,9.70243906E+4,
513.00,9.68482188E+4,
514.00,9.72674063E+4,
515.00,9.80872266E+4,
516.00,9.80395703E+4,
517.00,9.73644688E+4,
518.00,9.90619688E+4,
519.00,9.84849453E+4,
520.00,9.82247266E+4,
521.00,9.79184688E+4,
522.00,9.72789063E+4,
523.00,9.78338125E+4,
524.00,9.69448750E+4,
525.00,9.66174922E+4,
526.00,9.65888828E+4,
527.00,9.64562891E+4,
528.00,9.51181484E+4,
529.00,9.42562422E+4,
530.00,9.31357500E+4,
531.00,9.26339063E+4,
532.00,9.20382344E+4,
533.00,9.07122578E+4,
534.00,8.89748125E+4,
535.00,8.92722891E+4,
536.00,8.79154141E+4,
537.00,8.59929922E+4,
538.00,8.51142500E+4,
539.00,8.49796094E+4,
540.00,8.41734063E+4,
541.00,8.20311563E+4,
542.00,8.07698672E+4,
543.00,8.01264063E+4,
544.00,7.81146328E+4,
545.00,7.74274375E+4,
546.00,7.53258594E+4,
547.00,7.39842031E+4,
548.00,7.33178438E+4,
549.00,7.20063359E+4,
550.00,7.00045859E+4,
551.00,6.98692344E+4,
552.00,6.81298203E+4,
553.00,6.68508672E+4,
554.00,6.45992344E+4,
555.00,6.44773945E+4,
556.00,6.33723086E+4,
557.00,6.26999805E+4,
558.00,6.15408828E+4,
559.00,5.96234258E+4,
560.00,5.79292422E+4,
561.00,5.60307227E+4,
562.00,5.49290508E+4,
563.00,5.39296367E+4,
564.00,5.23451914E+4,
565.00,5.04132461E+4,
566.00,5.04388008E+4,
567.00,4.88008945E+4,
568.00,4.77191602E+4,
569.00,4.62028438E+4,
570.00,4.48303203E+4,
571.00,4.42530313E+4,
572.00,4.28509492E+4,
573.00,4.16575469E+4,
574.00,4.13765117E+4,
575.00,3.99360508E+4,
576.00,3.95183906E+4,
577.00,3.80961523E+4,
578.00,3.67012461E+4,
579.00,3.63034414E+4,
580.00,3.51992539E+4,
581.00,3.42669727E+4,
582.00,3.33734180E+4,
583.00,3.23451426E+4,
584.00,3.13502969E+4,
585.00,3.12967383E+4,
586.00,3.02694180E+4,
587.00,2.91851211E+4,
588.00,2.89266309E+4,
589.00,2.82121094E+4,
590.00,2.73977090E+4,
591.00,2.70545098E+4,
592.00,2.60412422E+4,
593.00,2.52970527E+4,
594.00,2.41597891E+4,
595.00,2.36799414E+4,
596.00,2.33946738E+4,
597.00,2.30301348E+4,
598.00,2.24548926E+4,
599.00,2.18509453E+4,
600.00,2.11329785E+4,
601.00,2.08040879E+4,
602.00,2.03015313E+4,
603.00,1.98259824E+4,
604.00,1.94634512E+4,
605.00,1.88334238E+4,
606.00,1.81098711E+4,
607.00,1.76795820E+4,
608.00,1.71888496E+4,
609.00,1.72696445E+4,
610.00,1.60989375E+4,
611.00,1.58178281E+4,
612.00,1.59402490E+4,
613.00,1.53684082E+4,
614.00,1.50690850E+4,
615.00,1.44635645E+4,
616.00,1.43331055E+4,
617.00,1.39718223E+4,
618.00,1.33396631E+4,
619.00,1.33576650E+4,
620.00,1.22172148E+4,
621.00,1.20151064E+4,
622.00,1.20696230E+4,
623.00,1.17276602E+4,
624.00,1.13522852E+4,
625.00,1.07556855E+4,
626.00,1.06778887E+4,
627.00,1.00744170E+4,
628.00,1.04279961E+4,
629.00,9.83892871E+3,
630.00,9.15769043E+3,
631.00,9.18311523E+3,
632.00,8.69651563E+3,
633.00,8.49024316E+3,
634.00,8.72526367E+3,
635.00,8.77684961E+3,
636.00,8.01645605E+3,
637.00,7.63827783E+3,
638.00,7.94197607E+3,
639.00,7.24082373E+3,
640.00,7.01345410E+3,
641.00,6.37157959E+3,
642.00,6.48617383E+3,
643.00,6.54094824E+3,
644.00,6.55560840E+3,
645.00,6.27726758E+3,
646.00,5.57219238E+3,
647.00,5.72685254E+3,
648.00,5.47401758E+3,
649.00,5.42576855E+3,
650.00,5.87569629E+3,
651.00,5.19994678E+3,
652.00,5.04254297E+3,
653.00,5.35006641E+3,
654.00,5.13458447E+3,
655.00,4.51393604E+3,
656.00,4.30606104E+3,
657.00,4.86301660E+3,
658.00,4.43807666E+3,
659.00,4.80341699E+3,
660.00,5.15176123E+3,
661.00,5.66223535E+3,
662.00,5.17494482E+3,
663.00,4.10302490E+3,
664.00,4.06996265E+3,
665.00,3.68011938E+3,
666.00,3.83926050E+3,
667.00,3.14372314E+3,
668.00,3.38683838E+3,
669.00,3.44776855E+3,
670.00,3.53123096E+3,
671.00,3.32499048E+3,
672.00,3.33024707E+3,
673.00,3.16622949E+3,
674.00,2.84584692E+3,
675.00,3.02790698E+3,
676.00,2.83965820E+3,
677.00,2.85422266E+3,
678.00,2.88212915E+3,
679.00,2.23274927E+3,
680.00,2.18363599E+3,
681.00,2.23536719E+3,
682.00,2.25453149E+3,
683.00,2.15902197E+3,
684.00,2.15937524E+3,
685.00,2.38447144E+3,
686.00,2.16670361E+3,
687.00,1.75237732E+3,
688.00,2.05260938E+3,
689.00,1.54512537E+3,
690.00,1.77473853E+3,
691.00,1.42045349E+3,
692.00,2.01229590E+3,
693.00,1.74116296E+3,
694.00,1.72399451E+3,
695.00,1.37454993E+3,
696.00,1.46744360E+3,
697.00,1.35096667E+3,
698.00,1.39942920E+3,
699.00,1.47804602E+3,
700.00,1.50964929E+3,
