Labels,EmScan1,
Type,Emission Scan,
Comment,,
Start,470.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

470.00,1.35617383E+3,
471.00,1.44508972E+3,
472.00,1.50042126E+3,
473.00,1.65972546E+3,
474.00,1.75863599E+3,
475.00,1.96055383E+3,
476.00,2.23189355E+3,
477.00,2.35922119E+3,
478.00,2.63653711E+3,
479.00,2.85620996E+3,
480.00,3.11513867E+3,
481.00,3.47988428E+3,
482.00,3.61576611E+3,
483.00,4.18421777E+3,
484.00,4.37495459E+3,
485.00,4.84439063E+3,
486.00,4.95628369E+3,
487.00,5.31354150E+3,
488.00,5.77144482E+3,
489.00,6.14849072E+3,
490.00,6.22916797E+3,
491.00,6.41795410E+3,
492.00,7.09905420E+3,
493.00,7.27122705E+3,
494.00,7.59082373E+3,
495.00,7.70911426E+3,
496.00,8.11712402E+3,
497.00,8.22703809E+3,
498.00,8.10390137E+3,
499.00,8.40432617E+3,
500.00,8.30174219E+3,
501.00,8.59733398E+3,
502.00,8.90208496E+3,
503.00,9.22340137E+3,
504.00,9.06681738E+3,
505.00,9.07087402E+3,
506.00,9.60212109E+3,
507.00,9.81964160E+3,
508.00,1.00827422E+4,
509.00,9.84459082E+3,
510.00,1.05955898E+4,
511.00,9.92195605E+3,
512.00,1.00949473E+4,
513.00,1.00114951E+4,
514.00,9.83112793E+3,
515.00,1.00319844E+4,
516.00,9.92340332E+3,
517.00,1.00343564E+4,
518.00,1.00384629E+4,
519.00,9.99441699E+3,
520.00,9.57504883E+3,
521.00,9.48751172E+3,
522.00,9.42669531E+3,
523.00,9.65063184E+3,
524.00,9.41170605E+3,
525.00,9.35172168E+3,
526.00,9.41622363E+3,
527.00,9.28522168E+3,
528.00,9.28883789E+3,
529.00,9.29185059E+3,
530.00,9.47342383E+3,
531.00,9.75048633E+3,
532.00,9.78801270E+3,
533.00,9.75243164E+3,
534.00,9.82180957E+3,
535.00,9.28090430E+3,
536.00,9.40252051E+3,
537.00,9.35084863E+3,
538.00,9.27128906E+3,
539.00,9.23746582E+3,
540.00,9.06961621E+3,
541.00,8.59005859E+3,
542.00,8.23090430E+3,
543.00,7.98225781E+3,
544.00,7.78361328E+3,
545.00,7.84549658E+3,
546.00,7.70574707E+3,
547.00,7.66737402E+3,
548.00,7.42925293E+3,
549.00,7.25095703E+3,
550.00,7.07343604E+3,
551.00,7.25262500E+3,
552.00,7.33570264E+3,
553.00,7.16318066E+3,
554.00,6.53522949E+3,
555.00,6.63812354E+3,
556.00,6.72862061E+3,
557.00,6.66418115E+3,
558.00,6.51108545E+3,
559.00,6.63496729E+3,
560.00,5.98456836E+3,
561.00,5.97966650E+3,
562.00,5.45453418E+3,
563.00,5.39347412E+3,
564.00,5.30873975E+3,
565.00,5.26060400E+3,
566.00,4.98088330E+3,
567.00,4.88400830E+3,
568.00,4.68756348E+3,
569.00,4.84258447E+3,
570.00,4.81074609E+3,
571.00,4.69659277E+3,
572.00,4.59213965E+3,
573.00,4.41480420E+3,
574.00,4.21473584E+3,
575.00,4.10068262E+3,
576.00,3.86905200E+3,
577.00,3.88682568E+3,
578.00,3.83947510E+3,
579.00,3.85249756E+3,
580.00,3.70198901E+3,
581.00,3.57687378E+3,
582.00,3.67154150E+3,
583.00,3.31399634E+3,
584.00,3.40034009E+3,
585.00,3.18871362E+3,
586.00,3.33531714E+3,
587.00,3.04362158E+3,
588.00,3.07893237E+3,
589.00,3.15839136E+3,
590.00,2.87744360E+3,
591.00,2.95211182E+3,
592.00,2.81863892E+3,
593.00,2.71417480E+3,
594.00,2.79010620E+3,
595.00,2.76355688E+3,
596.00,2.84857129E+3,
597.00,2.65142163E+3,
598.00,2.72824927E+3,
599.00,2.59978052E+3,
600.00,2.44511987E+3,
601.00,2.55698145E+3,
602.00,2.60317847E+3,
603.00,2.43348535E+3,
604.00,2.23896240E+3,
605.00,2.28513477E+3,
606.00,2.20285938E+3,
607.00,1.94571021E+3,
608.00,1.93122131E+3,
609.00,1.83442407E+3,
610.00,1.80152087E+3,
611.00,1.77681213E+3,
612.00,1.52165979E+3,
613.00,1.63858472E+3,
614.00,1.62605457E+3,
615.00,1.57746326E+3,
616.00,1.53568005E+3,
617.00,1.51868445E+3,
618.00,1.43624683E+3,
619.00,1.39157202E+3,
620.00,1.43760022E+3,
621.00,1.35275049E+3,
622.00,1.56060486E+3,
623.00,1.21797937E+3,
624.00,1.15392358E+3,
625.00,1.12244836E+3,
626.00,1.45840942E+3,
627.00,1.06727820E+3,
628.00,1.10520959E+3,
629.00,1.13190625E+3,
630.00,1.07330115E+3,
631.00,9.67476379E+2,
632.00,1.01440332E+3,
633.00,9.51622864E+2,
634.00,9.73355530E+2,
635.00,9.16801208E+2,
636.00,9.52400085E+2,
637.00,9.49347229E+2,
638.00,9.32570435E+2,
639.00,8.91789429E+2,
640.00,9.07218079E+2,
641.00,8.33637207E+2,
642.00,7.46340881E+2,
643.00,7.28782104E+2,
644.00,5.80857239E+2,
645.00,7.52365295E+2,
646.00,5.15117859E+2,
647.00,7.78200806E+2,
648.00,8.33721985E+2,
649.00,6.86378540E+2,
650.00,6.33259644E+2,
651.00,8.67496277E+2,
652.00,5.94665283E+2,
653.00,6.28985962E+2,
654.00,5.50846191E+2,
655.00,6.17797852E+2,
656.00,6.12220703E+2,
657.00,7.11166626E+2,
658.00,6.02119568E+2,
659.00,6.38453735E+2,
660.00,1.02031702E+3,
661.00,9.33576294E+2,
662.00,9.01742676E+2,
663.00,5.30410034E+2,
664.00,3.98969391E+2,
665.00,5.35505127E+2,
666.00,4.39110565E+2,
667.00,5.08265442E+2,
668.00,5.47221130E+2,
669.00,3.89139618E+2,
670.00,4.86609131E+2,
671.00,4.51437225E+2,
672.00,3.68638184E+2,
673.00,2.97542725E+2,
674.00,3.77875793E+2,
675.00,4.74497192E+2,
676.00,3.94822540E+2,
677.00,4.79547272E+2,
678.00,4.19295532E+2,
679.00,7.02034424E+2,
680.00,4.72061859E+2,
681.00,4.47407837E+2,
682.00,5.08722107E+2,
683.00,4.44501678E+2,
684.00,3.86300262E+2,
685.00,2.85644348E+2,
686.00,2.15048981E+2,
687.00,1.34165817E+2,
688.00,1.44733887E+2,
689.00,4.58302795E+2,
690.00,3.94583527E+2,
691.00,2.39893524E+2,
692.00,1.26176987E+2,
693.00,2.74508148E+2,
694.00,4.08896881E+2,
695.00,2.64061523E+2,
696.00,3.63638580E+2,
697.00,3.39702789E+2,
698.00,4.92524605E+1,
699.00,3.40045746E+2,
700.00,1.62398788E+2,
