Labels,EmScan12,
Type,Emission Scan,
Comment,,
Start,470.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

470.00,7.64333545E+3,
471.00,8.76874219E+3,
472.00,9.71555859E+3,
473.00,1.12793311E+4,
474.00,1.23651729E+4,
475.00,1.40007373E+4,
476.00,1.60315430E+4,
477.00,1.79664590E+4,
478.00,1.97712109E+4,
479.00,2.24576074E+4,
480.00,2.45757969E+4,
481.00,2.66948965E+4,
482.00,2.94203457E+4,
483.00,3.16106230E+4,
484.00,3.30266172E+4,
485.00,3.49291172E+4,
486.00,3.79712109E+4,
487.00,4.12383516E+4,
488.00,4.26340586E+4,
489.00,4.39693320E+4,
490.00,4.59367461E+4,
491.00,4.83510898E+4,
492.00,4.95045195E+4,
493.00,5.19299492E+4,
494.00,5.31092578E+4,
495.00,5.42471211E+4,
496.00,5.76059023E+4,
497.00,5.83742578E+4,
498.00,5.90924375E+4,
499.00,6.04200820E+4,
500.00,6.16253242E+4,
501.00,6.28142969E+4,
502.00,6.37661406E+4,
503.00,6.44981563E+4,
504.00,6.61431016E+4,
505.00,6.58725078E+4,
506.00,6.59950938E+4,
507.00,6.65345078E+4,
508.00,6.84146875E+4,
509.00,6.85666953E+4,
510.00,6.93087188E+4,
511.00,6.94602188E+4,
512.00,6.95497422E+4,
513.00,6.99130234E+4,
514.00,7.14150781E+4,
515.00,7.11090469E+4,
516.00,7.21903438E+4,
517.00,7.22066406E+4,
518.00,7.18656563E+4,
519.00,7.26215000E+4,
520.00,7.14538516E+4,
521.00,7.21380156E+4,
522.00,7.08241250E+4,
523.00,7.04963359E+4,
524.00,6.95764219E+4,
525.00,6.97699531E+4,
526.00,7.04076406E+4,
527.00,6.87804141E+4,
528.00,6.71399297E+4,
529.00,6.76510391E+4,
530.00,6.73915313E+4,
531.00,6.67985313E+4,
532.00,6.73946172E+4,
533.00,6.63488125E+4,
534.00,6.47000000E+4,
535.00,6.40508555E+4,
536.00,6.34329570E+4,
537.00,6.21183320E+4,
538.00,6.15538828E+4,
539.00,6.11715742E+4,
540.00,6.09512461E+4,
541.00,6.02895508E+4,
542.00,5.89784883E+4,
543.00,5.72121211E+4,
544.00,5.60932813E+4,
545.00,5.49738516E+4,
546.00,5.41697539E+4,
547.00,5.33215508E+4,
548.00,5.18303203E+4,
549.00,5.11956797E+4,
550.00,5.00597422E+4,
551.00,4.79445469E+4,
552.00,4.73111875E+4,
553.00,4.61465195E+4,
554.00,4.54269336E+4,
555.00,4.41338203E+4,
556.00,4.33498359E+4,
557.00,4.27799805E+4,
558.00,4.23808047E+4,
559.00,4.19333398E+4,
560.00,3.98557656E+4,
561.00,3.97397305E+4,
562.00,3.78730430E+4,
563.00,3.77402422E+4,
564.00,3.56992188E+4,
565.00,3.54769688E+4,
566.00,3.45962891E+4,
567.00,3.44231445E+4,
568.00,3.26679629E+4,
569.00,3.23649766E+4,
570.00,3.21635391E+4,
571.00,3.11636270E+4,
572.00,3.08678848E+4,
573.00,2.98546953E+4,
574.00,2.89038867E+4,
575.00,2.85766152E+4,
576.00,2.84657813E+4,
577.00,2.68153418E+4,
578.00,2.69097871E+4,
579.00,2.53921465E+4,
580.00,2.49552813E+4,
581.00,2.43492930E+4,
582.00,2.32469160E+4,
583.00,2.25727266E+4,
584.00,2.24453008E+4,
585.00,2.17703574E+4,
586.00,2.10018301E+4,
587.00,2.06375039E+4,
588.00,2.03541191E+4,
589.00,2.00450898E+4,
590.00,1.96219434E+4,
591.00,1.93492188E+4,
592.00,1.85546289E+4,
593.00,1.82530723E+4,
594.00,1.76637227E+4,
595.00,1.73353359E+4,
596.00,1.66289160E+4,
597.00,1.59328125E+4,
598.00,1.58711230E+4,
599.00,1.51986670E+4,
600.00,1.53542686E+4,
601.00,1.48606719E+4,
602.00,1.46066885E+4,
603.00,1.40073154E+4,
604.00,1.35835732E+4,
605.00,1.30282275E+4,
606.00,1.28158721E+4,
607.00,1.22812266E+4,
608.00,1.20185156E+4,
609.00,1.15403535E+4,
610.00,1.17713760E+4,
611.00,1.11327891E+4,
612.00,1.08426621E+4,
613.00,1.04372051E+4,
614.00,1.05521230E+4,
615.00,9.88694238E+3,
616.00,9.70212402E+3,
617.00,9.39317773E+3,
618.00,9.49200293E+3,
619.00,9.13662207E+3,
620.00,8.95147949E+3,
621.00,8.68413379E+3,
622.00,8.12481201E+3,
623.00,8.08626123E+3,
624.00,7.96809229E+3,
625.00,7.86817822E+3,
626.00,7.33293799E+3,
627.00,7.49223389E+3,
628.00,6.80675830E+3,
629.00,6.89542627E+3,
630.00,6.66125830E+3,
631.00,6.82716064E+3,
632.00,6.10418213E+3,
633.00,6.18585059E+3,
634.00,6.08214844E+3,
635.00,5.66228223E+3,
636.00,5.67915576E+3,
637.00,5.45073926E+3,
638.00,5.46226074E+3,
639.00,5.33165234E+3,
640.00,5.45885986E+3,
641.00,5.31007471E+3,
642.00,5.28116748E+3,
643.00,4.97539453E+3,
644.00,4.89884619E+3,
645.00,4.51307861E+3,
646.00,4.57652100E+3,
647.00,4.28882861E+3,
648.00,4.25624414E+3,
649.00,4.43852930E+3,
650.00,3.75474780E+3,
651.00,4.11334766E+3,
652.00,3.63360571E+3,
653.00,3.67969336E+3,
654.00,3.57802783E+3,
655.00,3.50987695E+3,
656.00,3.14851318E+3,
657.00,3.33922192E+3,
658.00,3.40025879E+3,
659.00,3.31784204E+3,
660.00,3.95649097E+3,
661.00,4.09809912E+3,
662.00,3.80309546E+3,
663.00,3.29164209E+3,
664.00,2.71115161E+3,
665.00,2.58505762E+3,
666.00,2.80024097E+3,
667.00,2.69066919E+3,
668.00,2.60274536E+3,
669.00,2.31790503E+3,
670.00,2.45757617E+3,
671.00,2.38986987E+3,
672.00,2.32324707E+3,
673.00,2.34802368E+3,
674.00,2.09542114E+3,
675.00,1.89215552E+3,
676.00,2.17751099E+3,
677.00,2.00992371E+3,
678.00,1.87938782E+3,
679.00,1.77335950E+3,
680.00,1.73443201E+3,
681.00,1.39083716E+3,
682.00,1.41041040E+3,
683.00,1.31783301E+3,
684.00,1.36010132E+3,
685.00,1.31063672E+3,
686.00,1.31347900E+3,
687.00,1.33176404E+3,
688.00,1.41746155E+3,
689.00,1.35754480E+3,
690.00,1.20151440E+3,
691.00,1.34490820E+3,
692.00,1.01302911E+3,
693.00,1.11524524E+3,
694.00,9.29606140E+2,
695.00,1.24926550E+3,
696.00,1.10363550E+3,
697.00,9.89365784E+2,
698.00,8.52715210E+2,
699.00,1.08442920E+3,
700.00,1.08222021E+3,
