Labels,EmScan1,,,,,,,
Type,Emission Scan,,,,,,,
Comment,,,,,,,,
Start,470,,,,,,,
Stop,700,,,,,,,
Step,1,,,,,,,
Fixed/Offset,455,,,,,,,
Xaxis,Wavelength,,,,,,,
Yaxis,Counts,,,,,,,
Scan Corr. by File,TRUE,,,,,,,
Corr. by Ref. Det.,TRUE,,,,,,,
Fixed/Offset Corr. by File,FALSE,,,,,,,
Repeats,1,,,,,,,
Dwell Time,0.25,,,,,,,
Lamp,Xenon,,,,,,,
Temp,0,,,,,,,
Scan Polariser,None,,,,,,,
Scan Slit,1.4995272,,,,,,,
Fixed/Offset Polariser,None,,,,,,,
Fixed/Offset Slit,1.4995272,,,,,,,
Detector,Detector 1,,,,,,,
,,,,,,,,
470,5.20E+03,,,,,,,
471,5.73E+03,,,,,,,
472,6.45E+03,,,,,,,
473,7.40E+03,,,,,,,
474,8.34E+03,,,,,,,
475,9.43E+03,,,,,,,
476,1.08E+04,,,,,,,
477,1.19E+04,,,,,,,
478,1.33E+04,,,,,,,
479,1.46E+04,,,,,,,
480,1.63E+04,,,,,,,
481,1.77E+04,,,,,,,
482,1.91E+04,,,,,,,
483,2.05E+04,,,,,,,
484,2.23E+04,,,,,,,
485,2.39E+04,,,,,,,
486,2.54E+04,,,,,,,
487,2.65E+04,,,,,,,
488,2.82E+04,,,,,,,
489,3.05E+04,,,,,,,
490,3.16E+04,,,,,,,
491,3.32E+04,,,,,,,
492,3.49E+04,,,,,,,
493,3.55E+04,,,,,,,
494,3.70E+04,,,,,,,
495,3.82E+04,,,,,,,
496,3.94E+04,,,,,,,
497,4.08E+04,,,,,,,
498,4.19E+04,,,,,,,
499,4.32E+04,,,,,,,
500,4.39E+04,,,,,,,
501,4.49E+04,,,,,,,
502,4.59E+04,,,,,,,
503,4.72E+04,,,,,,,
504,4.82E+04,,,,,,,
505,4.94E+04,,,,,,,
506,5.00E+04,,,,,,,
507,5.05E+04,,,,,,,
508,5.12E+04,,,,,,,
509,5.11E+04,,,,,,,
510,5.21E+04,,,,,,,
511,5.18E+04,,,,,,,
512,5.18E+04,,,,,,,
513,5.24E+04,,,,,,,
514,5.17E+04,,,,,,,
515,5.26E+04,,,,,,,
516,5.27E+04,,,,,,,
517,5.26E+04,,,,,,,
518,5.27E+04,,,,,,,
519,5.25E+04,,,,,,,
520,5.19E+04,,,,,,,
521,5.21E+04,,,,,,,
522,5.18E+04,,,,,,,
523,5.14E+04,,,,,,,
524,5.11E+04,,,,,,,
525,5.05E+04,,,,,,,
526,5.05E+04,,,,,,,
527,4.96E+04,,,,,,,
528,4.98E+04,,,,,,,
529,4.95E+04,,,,,,,
530,4.94E+04,,,,,,,
531,4.93E+04,,,,,,,
532,4.89E+04,,,,,,,
533,4.82E+04,,,,,,,
534,4.88E+04,,,,,,,
535,4.83E+04,,,,,,,
536,4.73E+04,,,,,,,
537,4.70E+04,,,,,,,
538,4.59E+04,,,,,,,
539,4.57E+04,,,,,,,
540,4.47E+04,,,,,,,
541,4.37E+04,,,,,,,
542,4.31E+04,,,,,,,
543,4.32E+04,,,,,,,
544,4.23E+04,,,,,,,
545,4.16E+04,,,,,,,
546,4.17E+04,,,,,,,
547,4.03E+04,,,,,,,
548,4.02E+04,,,,,,,
549,3.94E+04,,,,,,,
550,3.91E+04,,,,,,,
551,3.80E+04,,,,,,,
552,3.65E+04,,,,,,,
553,3.60E+04,,,,,,,
554,3.54E+04,,,,,,,
555,3.53E+04,,,,,,,
556,3.38E+04,,,,,,,
557,3.36E+04,,,,,,,
558,3.27E+04,,,,,,,
559,3.26E+04,,,,,,,
560,3.16E+04,,,,,,,
561,3.04E+04,,,,,,,
562,3.05E+04,,,,,,,
563,2.89E+04,,,,,,,
564,2.81E+04,,,,,,,
565,2.75E+04,,,,,,,
566,2.70E+04,,,,,,,
567,2.69E+04,,,,,,,
568,2.55E+04,,,,,,,
569,2.52E+04,,,,,,,
570,2.45E+04,,,,,,,
571,2.40E+04,,,,,,,
572,2.34E+04,,,,,,,
573,2.28E+04,,,,,,,
574,2.25E+04,,,,,,,
575,2.22E+04,,,,,,,
576,2.13E+04,,,,,,,
577,2.12E+04,,,,,,,
578,2.00E+04,,,,,,,
579,2.00E+04,,,,,,,
580,1.94E+04,,,,,,,
581,1.89E+04,,,,,,,
582,1.86E+04,,,,,,,
583,1.86E+04,,,,,,,
584,1.77E+04,,,,,,,
585,1.70E+04,,,,,,,
586,1.66E+04,,,,,,,
587,1.62E+04,,,,,,,
588,1.58E+04,,,,,,,
589,1.53E+04,,,,,,,
590,1.49E+04,,,,,,,
591,1.49E+04,,,,,,,
592,1.44E+04,,,,,,,
593,1.44E+04,,,,,,,
594,1.42E+04,,,,,,,
595,1.36E+04,,,,,,,
596,1.32E+04,,,,,,,
597,1.30E+04,,,,,,,
598,1.30E+04,,,,,,,
599,1.19E+04,,,,,,,
600,1.18E+04,,,,,,,
601,1.15E+04,,,,,,,
602,1.17E+04,,,,,,,
603,1.07E+04,,,,,,,
604,1.07E+04,,,,,,,
605,1.04E+04,,,,,,,
606,1.02E+04,,,,,,,
607,9.93E+03,,,,,,,
608,9.36E+03,,,,,,,
609,9.16E+03,,,,,,,
610,8.90E+03,,,,,,,
611,8.96E+03,,,,,,,
612,8.30E+03,,,,,,,
613,8.32E+03,,,,,,,
614,7.93E+03,,,,,,,
615,7.73E+03,,,,,,,
616,7.45E+03,,,,,,,
617,6.88E+03,,,,,,,
618,7.12E+03,,,,,,,
619,6.97E+03,,,,,,,
620,6.68E+03,,,,,,,
621,6.44E+03,,,,,,,
622,6.16E+03,,,,,,,
623,6.10E+03,,,,,,,
624,6.42E+03,,,,,,,
625,5.72E+03,,,,,,,
626,6.06E+03,,,,,,,
627,5.69E+03,,,,,,,
628,5.33E+03,,,,,,,
629,5.22E+03,,,,,,,
630,5.06E+03,,,,,,,
631,4.91E+03,,,,,,,
632,4.80E+03,,,,,,,
633,4.80E+03,,,,,,,
634,4.84E+03,,,,,,,
635,4.48E+03,,,,,,,
636,4.23E+03,,,,,,,
637,4.18E+03,,,,,,,
638,4.26E+03,,,,,,,
639,3.79E+03,,,,,,,
640,3.92E+03,,,,,,,
641,3.73E+03,,,,,,,
642,3.66E+03,,,,,,,
643,3.55E+03,,,,,,,
644,3.64E+03,,,,,,,
645,3.65E+03,,,,,,,
646,3.33E+03,,,,,,,
647,3.44E+03,,,,,,,
648,3.45E+03,,,,,,,
649,3.21E+03,,,,,,,
650,3.19E+03,,,,,,,
651,2.73E+03,,,,,,,
652,2.78E+03,,,,,,,
653,2.59E+03,,,,,,,
654,2.84E+03,,,,,,,
655,2.48E+03,,,,,,,
656,2.61E+03,,,,,,,
657,2.41E+03,,,,,,,
658,2.43E+03,,,,,,,
659,2.40E+03,,,,,,,
660,2.77E+03,,,,,,,
661,3.11E+03,,,,,,,
662,2.65E+03,,,,,,,
663,2.29E+03,,,,,,,
664,1.95E+03,,,,,,,
665,2.34E+03,,,,,,,
666,1.90E+03,,,,,,,
667,1.64E+03,,,,,,,
668,2.01E+03,,,,,,,
669,1.78E+03,,,,,,,
670,1.86E+03,,,,,,,
671,1.83E+03,,,,,,,
672,1.77E+03,,,,,,,
673,2.02E+03,,,,,,,
674,1.56E+03,,,,,,,
675,1.58E+03,,,,,,,
676,1.51E+03,,,,,,,
677,1.67E+03,,,,,,,
678,1.66E+03,,,,,,,
679,1.42E+03,,,,,,,
680,1.31E+03,,,,,,,
681,1.35E+03,,,,,,,
682,1.20E+03,,,,,,,
683,1.12E+03,,,,,,,
684,9.65E+02,,,,,,,
685,9.73E+02,,,,,,,
686,9.35E+02,,,,,,,
687,1.26E+03,,,,,,,
688,1.25E+03,,,,,,,
689,1.02E+03,,,,,,,
690,1.28E+03,,,,,,,
691,1.15E+03,,,,,,,
692,7.61E+02,,,,,,,
693,9.64E+02,,,,,,,
694,8.86E+02,,,,,,,
695,8.19E+02,,,,,,,
696,7.93E+02,,,,,,,
697,9.86E+02,,,,,,,
698,7.41E+02,,,,,,,
699,8.30E+02,,,,,,,
700,8.97E+02,,,,,,,
