Labels,EmScan41,
Type,Emission Scan,
Comment,,
Start,470.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.25,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

470.00,1.33168516E+4,
471.00,1.56540693E+4,
472.00,1.75945879E+4,
473.00,1.99233320E+4,
474.00,2.31813008E+4,
475.00,2.61762949E+4,
476.00,2.93441738E+4,
477.00,3.27443516E+4,
478.00,3.67111094E+4,
479.00,4.09984414E+4,
480.00,4.53822227E+4,
481.00,5.10381094E+4,
482.00,5.66230000E+4,
483.00,6.06871758E+4,
484.00,6.58695859E+4,
485.00,7.13557813E+4,
486.00,7.54997578E+4,
487.00,8.25795703E+4,
488.00,8.93111484E+4,
489.00,9.43677813E+4,
490.00,9.75775938E+4,
491.00,1.00605508E+5,
492.00,1.02845906E+5,
493.00,1.06465031E+5,
494.00,1.12507305E+5,
495.00,1.17197625E+5,
496.00,1.22139305E+5,
497.00,1.25610242E+5,
498.00,1.33187406E+5,
499.00,1.37457469E+5,
500.00,1.40985641E+5,
501.00,1.42175781E+5,
502.00,1.42988703E+5,
503.00,1.46317531E+5,
504.00,1.47535656E+5,
505.00,1.50445781E+5,
506.00,1.51206641E+5,
507.00,1.53365578E+5,
508.00,1.56507234E+5,
509.00,1.58562438E+5,
510.00,1.60339203E+5,
511.00,1.64003203E+5,
512.00,1.64934281E+5,
513.00,1.65776875E+5,
514.00,1.63404391E+5,
515.00,1.63058953E+5,
516.00,1.64807188E+5,
517.00,1.65882469E+5,
518.00,1.67397797E+5,
519.00,1.65790891E+5,
520.00,1.65148859E+5,
521.00,1.63835125E+5,
522.00,1.63150656E+5,
523.00,1.62806906E+5,
524.00,1.61990469E+5,
525.00,1.62115469E+5,
526.00,1.62450797E+5,
527.00,1.63506375E+5,
528.00,1.60531688E+5,
529.00,1.58689031E+5,
530.00,1.56726438E+5,
531.00,1.55616594E+5,
532.00,1.54943125E+5,
533.00,1.53044000E+5,
534.00,1.50033109E+5,
535.00,1.47154875E+5,
536.00,1.45655313E+5,
537.00,1.44521844E+5,
538.00,1.42004922E+5,
539.00,1.41293188E+5,
540.00,1.39134203E+5,
541.00,1.38400781E+5,
542.00,1.34443344E+5,
543.00,1.34379063E+5,
544.00,1.32204859E+5,
545.00,1.30336430E+5,
546.00,1.27881977E+5,
547.00,1.24321727E+5,
548.00,1.20612141E+5,
549.00,1.19201445E+5,
550.00,1.17662484E+5,
551.00,1.17360891E+5,
552.00,1.16820828E+5,
553.00,1.14147734E+5,
554.00,1.09907695E+5,
555.00,1.07683281E+5,
556.00,1.06568336E+5,
557.00,1.05008648E+5,
558.00,1.05733109E+5,
559.00,1.05095336E+5,
560.00,1.03358898E+5,
561.00,1.00266672E+5,
562.00,9.63922031E+4,
563.00,9.28165469E+4,
564.00,8.87633906E+4,
565.00,8.87333984E+4,
566.00,8.80145234E+4,
567.00,8.53811250E+4,
568.00,8.52917031E+4,
569.00,8.29918828E+4,
570.00,8.07971016E+4,
571.00,7.81443125E+4,
572.00,7.80618516E+4,
573.00,7.49437813E+4,
574.00,7.29623984E+4,
575.00,7.13933906E+4,
576.00,7.16236797E+4,
577.00,6.80428359E+4,
578.00,6.64629922E+4,
579.00,6.51087891E+4,
580.00,6.30806953E+4,
581.00,6.26525195E+4,
582.00,6.08410156E+4,
583.00,6.01469414E+4,
584.00,5.89416563E+4,
585.00,5.65354648E+4,
586.00,5.54464961E+4,
587.00,5.35693516E+4,
588.00,5.22355313E+4,
589.00,5.09935469E+4,
590.00,4.96341563E+4,
591.00,4.88868555E+4,
592.00,4.75923164E+4,
593.00,4.53592734E+4,
594.00,4.41367773E+4,
595.00,4.26362813E+4,
596.00,4.15054727E+4,
597.00,4.11475391E+4,
598.00,3.92303242E+4,
599.00,3.90490703E+4,
600.00,3.77754922E+4,
601.00,3.66174414E+4,
602.00,3.62170156E+4,
603.00,3.52309492E+4,
604.00,3.42314297E+4,
605.00,3.39143750E+4,
606.00,3.20213418E+4,
607.00,3.22055449E+4,
608.00,3.06675371E+4,
609.00,2.94759824E+4,
610.00,2.82575957E+4,
611.00,2.80742461E+4,
612.00,2.65309707E+4,
613.00,2.64730703E+4,
614.00,2.60876621E+4,
615.00,2.48705781E+4,
616.00,2.41349043E+4,
617.00,2.33173691E+4,
618.00,2.28667363E+4,
619.00,2.26863203E+4,
620.00,2.18316699E+4,
621.00,2.16240430E+4,
622.00,2.07000664E+4,
623.00,1.91539648E+4,
624.00,1.90444297E+4,
625.00,1.86041250E+4,
626.00,1.83650469E+4,
627.00,1.79815488E+4,
628.00,1.72151758E+4,
629.00,1.68089531E+4,
630.00,1.63675234E+4,
631.00,1.63345791E+4,
632.00,1.49540479E+4,
633.00,1.49157852E+4,
634.00,1.45532754E+4,
635.00,1.39567891E+4,
636.00,1.35034199E+4,
637.00,1.32809561E+4,
638.00,1.26827129E+4,
639.00,1.20326670E+4,
640.00,1.24300830E+4,
641.00,1.18120068E+4,
642.00,1.20099805E+4,
643.00,1.13377363E+4,
644.00,1.13799619E+4,
645.00,1.07981367E+4,
646.00,1.09059971E+4,
647.00,1.02660557E+4,
648.00,9.60033301E+3,
649.00,9.66596484E+3,
650.00,9.19062305E+3,
651.00,9.02721777E+3,
652.00,9.00812500E+3,
653.00,9.01122559E+3,
654.00,8.56581250E+3,
655.00,8.17157031E+3,
656.00,7.95866504E+3,
657.00,7.88356836E+3,
658.00,7.23384180E+3,
659.00,7.08112061E+3,
660.00,8.06556299E+3,
661.00,9.06039551E+3,
662.00,8.91633887E+3,
663.00,7.69574023E+3,
664.00,6.70134473E+3,
665.00,6.70573438E+3,
666.00,5.91883203E+3,
667.00,5.90925293E+3,
668.00,5.68681592E+3,
669.00,5.74832471E+3,
670.00,5.62382275E+3,
671.00,5.56074121E+3,
672.00,5.62225439E+3,
673.00,5.38837891E+3,
674.00,5.22324902E+3,
675.00,4.68097705E+3,
676.00,4.80769873E+3,
677.00,4.93213574E+3,
678.00,4.57296631E+3,
679.00,4.20735156E+3,
680.00,3.71606421E+3,
681.00,4.00103394E+3,
682.00,3.93813965E+3,
683.00,3.89844482E+3,
684.00,3.54623120E+3,
685.00,2.93339355E+3,
686.00,3.24235400E+3,
687.00,3.23854712E+3,
688.00,3.44698926E+3,
689.00,2.97330518E+3,
690.00,3.03210864E+3,
691.00,3.03035425E+3,
692.00,2.75643433E+3,
693.00,2.59263306E+3,
694.00,2.92686816E+3,
695.00,2.49611670E+3,
696.00,2.38185815E+3,
697.00,2.42520190E+3,
698.00,2.33648804E+3,
699.00,1.82165918E+3,
700.00,2.07826172E+3,
