Labels,EmScan1,
Type,Emission Scan,
Comment,,
Start,470.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

470.00,1.55332800E+3,
471.00,1.64096509E+3,
472.00,1.79835291E+3,
473.00,2.11481738E+3,
474.00,2.35666895E+3,
475.00,2.62900586E+3,
476.00,3.06985815E+3,
477.00,3.48880957E+3,
478.00,3.84704028E+3,
479.00,4.19780566E+3,
480.00,4.46271631E+3,
481.00,4.87864160E+3,
482.00,5.47280664E+3,
483.00,5.96415430E+3,
484.00,6.43417627E+3,
485.00,7.04585498E+3,
486.00,7.41163037E+3,
487.00,8.05989160E+3,
488.00,8.28319531E+3,
489.00,8.77860645E+3,
490.00,9.43164160E+3,
491.00,1.01260029E+4,
492.00,1.02657598E+4,
493.00,1.08201543E+4,
494.00,1.13637256E+4,
495.00,1.20871396E+4,
496.00,1.26196846E+4,
497.00,1.27205850E+4,
498.00,1.29540947E+4,
499.00,1.32633145E+4,
500.00,1.37472900E+4,
501.00,1.37812813E+4,
502.00,1.37518809E+4,
503.00,1.39721855E+4,
504.00,1.43467393E+4,
505.00,1.44295830E+4,
506.00,1.47345986E+4,
507.00,1.46111113E+4,
508.00,1.49752617E+4,
509.00,1.53514482E+4,
510.00,1.55045605E+4,
511.00,1.54292822E+4,
512.00,1.55526748E+4,
513.00,1.57608135E+4,
514.00,1.54146240E+4,
515.00,1.54441973E+4,
516.00,1.55276426E+4,
517.00,1.54165586E+4,
518.00,1.54386621E+4,
519.00,1.52645889E+4,
520.00,1.50149482E+4,
521.00,1.51916182E+4,
522.00,1.50728584E+4,
523.00,1.55015215E+4,
524.00,1.52050977E+4,
525.00,1.47094756E+4,
526.00,1.48359336E+4,
527.00,1.45647266E+4,
528.00,1.46437207E+4,
529.00,1.45952949E+4,
530.00,1.45350176E+4,
531.00,1.43335469E+4,
532.00,1.40489727E+4,
533.00,1.39376113E+4,
534.00,1.42960156E+4,
535.00,1.43725674E+4,
536.00,1.41771846E+4,
537.00,1.36306016E+4,
538.00,1.35283516E+4,
539.00,1.31604365E+4,
540.00,1.33949395E+4,
541.00,1.31335576E+4,
542.00,1.25499990E+4,
543.00,1.22476436E+4,
544.00,1.20243643E+4,
545.00,1.14978252E+4,
546.00,1.15384238E+4,
547.00,1.12447246E+4,
548.00,1.10478564E+4,
549.00,1.08940693E+4,
550.00,1.08453340E+4,
551.00,1.07935137E+4,
552.00,1.07869697E+4,
553.00,1.06158652E+4,
554.00,1.04987080E+4,
555.00,1.01190352E+4,
556.00,9.98711621E+3,
557.00,9.98395508E+3,
558.00,1.00642588E+4,
559.00,9.56193164E+3,
560.00,9.64701660E+3,
561.00,9.18782715E+3,
562.00,8.99779590E+3,
563.00,8.92553613E+3,
564.00,8.26732031E+3,
565.00,8.17189600E+3,
566.00,8.27280664E+3,
567.00,7.93896045E+3,
568.00,7.76143896E+3,
569.00,8.08946338E+3,
570.00,8.28497559E+3,
571.00,7.74622510E+3,
572.00,7.60269482E+3,
573.00,7.04272705E+3,
574.00,7.10678223E+3,
575.00,7.19786865E+3,
576.00,6.81644482E+3,
577.00,6.54330225E+3,
578.00,6.09580029E+3,
579.00,6.29793750E+3,
580.00,6.12341064E+3,
581.00,6.29370557E+3,
582.00,6.15582275E+3,
583.00,6.05173047E+3,
584.00,5.67652539E+3,
585.00,5.65827734E+3,
586.00,5.32003857E+3,
587.00,5.20494922E+3,
588.00,5.11891016E+3,
589.00,4.86787988E+3,
590.00,4.94064648E+3,
591.00,4.57977246E+3,
592.00,4.29010547E+3,
593.00,4.70542188E+3,
594.00,4.20778711E+3,
595.00,4.31626953E+3,
596.00,4.16515039E+3,
597.00,3.81442017E+3,
598.00,3.78362207E+3,
599.00,3.64428442E+3,
600.00,3.58486084E+3,
601.00,3.32013525E+3,
602.00,3.52146802E+3,
603.00,3.33207349E+3,
604.00,3.10992773E+3,
605.00,3.50042334E+3,
606.00,3.28093726E+3,
607.00,3.04270679E+3,
608.00,3.04400488E+3,
609.00,2.94339893E+3,
610.00,2.94582202E+3,
611.00,2.82427539E+3,
612.00,2.70556519E+3,
613.00,2.57258545E+3,
614.00,2.69241699E+3,
615.00,2.56883374E+3,
616.00,2.62280469E+3,
617.00,2.54948560E+3,
618.00,2.48814648E+3,
619.00,2.52258105E+3,
620.00,2.27851343E+3,
621.00,2.14677808E+3,
622.00,2.28732520E+3,
623.00,2.19591406E+3,
624.00,1.99520410E+3,
625.00,1.94587683E+3,
626.00,1.93849341E+3,
627.00,1.88785779E+3,
628.00,1.89294092E+3,
629.00,1.74706763E+3,
630.00,1.70176526E+3,
631.00,1.80626050E+3,
632.00,1.84689722E+3,
633.00,1.67948804E+3,
634.00,1.59914575E+3,
635.00,1.60451855E+3,
636.00,1.63205078E+3,
637.00,1.47058435E+3,
638.00,1.38800415E+3,
639.00,1.31519836E+3,
640.00,1.50628198E+3,
641.00,1.38742615E+3,
642.00,1.18646497E+3,
643.00,1.25312769E+3,
644.00,1.32866504E+3,
645.00,1.20149780E+3,
646.00,1.19340625E+3,
647.00,1.09579578E+3,
648.00,7.36518188E+2,
649.00,1.10343567E+3,
650.00,1.34214087E+3,
651.00,1.20182727E+3,
652.00,9.08076904E+2,
653.00,9.71867981E+2,
654.00,1.02452112E+3,
655.00,9.68091125E+2,
656.00,1.10424194E+3,
657.00,7.50045044E+2,
658.00,6.74058105E+2,
659.00,9.02175537E+2,
660.00,1.01923871E+3,
661.00,8.26486389E+2,
662.00,1.08081885E+3,
663.00,8.09183350E+2,
664.00,5.37148315E+2,
665.00,5.91160645E+2,
666.00,7.06922791E+2,
667.00,5.17572266E+2,
668.00,7.42691162E+2,
669.00,5.68747559E+2,
670.00,6.83737915E+2,
671.00,5.81567993E+2,
672.00,6.08618896E+2,
673.00,5.50637878E+2,
674.00,7.52054626E+2,
675.00,5.50500671E+2,
676.00,4.54638824E+2,
677.00,4.88183929E+2,
678.00,4.72809967E+2,
679.00,4.22170959E+2,
680.00,4.37151978E+2,
681.00,3.98828430E+2,
682.00,1.94954544E+2,
683.00,1.52076691E+2,
684.00,3.85676086E+2,
685.00,3.13178558E+2,
686.00,3.73100555E+2,
687.00,6.35817444E+2,
688.00,4.49456390E+2,
689.00,2.40670959E+2,
690.00,1.93593353E+2,
691.00,5.62970276E+2,
692.00,4.32424683E+2,
693.00,4.03925903E+2,
694.00,3.83455719E+2,
695.00,4.07132782E+2,
696.00,3.39611023E+2,
697.00,2.60635468E+2,
698.00,3.49664185E+2,
699.00,6.14312073E+2,
700.00,1.85092621E+2,
