Labels,EmScan3,
Type,Emission Scan,
Comment,,
Start,470.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

470.00,1.38561299E+4,
471.00,1.55990332E+4,
472.00,1.75495352E+4,
473.00,1.99411934E+4,
474.00,2.21274492E+4,
475.00,2.51654824E+4,
476.00,2.90649590E+4,
477.00,3.24440879E+4,
478.00,3.62547656E+4,
479.00,4.01250977E+4,
480.00,4.46075586E+4,
481.00,4.93540703E+4,
482.00,5.42016406E+4,
483.00,5.94731172E+4,
484.00,6.39257617E+4,
485.00,6.91160703E+4,
486.00,7.45414609E+4,
487.00,8.00070313E+4,
488.00,8.48848438E+4,
489.00,9.02568984E+4,
490.00,9.61419609E+4,
491.00,1.00769258E+5,
492.00,1.05400086E+5,
493.00,1.09957445E+5,
494.00,1.14478000E+5,
495.00,1.18227586E+5,
496.00,1.22419836E+5,
497.00,1.26394328E+5,
498.00,1.29892875E+5,
499.00,1.32242781E+5,
500.00,1.33801938E+5,
501.00,1.37097313E+5,
502.00,1.40241844E+5,
503.00,1.41548328E+5,
504.00,1.44436422E+5,
505.00,1.47791859E+5,
506.00,1.49560891E+5,
507.00,1.50847672E+5,
508.00,1.53214344E+5,
509.00,1.54858844E+5,
510.00,1.56743297E+5,
511.00,1.57230594E+5,
512.00,1.58167938E+5,
513.00,1.58754578E+5,
514.00,1.59095469E+5,
515.00,1.58944484E+5,
516.00,1.60019703E+5,
517.00,1.60867672E+5,
518.00,1.59375188E+5,
519.00,1.60926266E+5,
520.00,1.60906859E+5,
521.00,1.61653875E+5,
522.00,1.59958359E+5,
523.00,1.59706984E+5,
524.00,1.58713500E+5,
525.00,1.57268484E+5,
526.00,1.57132734E+5,
527.00,1.55347984E+5,
528.00,1.54636859E+5,
529.00,1.54134688E+5,
530.00,1.52028188E+5,
531.00,1.50761484E+5,
532.00,1.50327906E+5,
533.00,1.49102078E+5,
534.00,1.47628250E+5,
535.00,1.45183016E+5,
536.00,1.43981484E+5,
537.00,1.41977234E+5,
538.00,1.40147141E+5,
539.00,1.38134000E+5,
540.00,1.36909672E+5,
541.00,1.35241953E+5,
542.00,1.32557594E+5,
543.00,1.30754570E+5,
544.00,1.27840258E+5,
545.00,1.26213961E+5,
546.00,1.24860633E+5,
547.00,1.22668938E+5,
548.00,1.20889930E+5,
549.00,1.18132531E+5,
550.00,1.17463867E+5,
551.00,1.14890195E+5,
552.00,1.12219500E+5,
553.00,1.11871891E+5,
554.00,1.09446797E+5,
555.00,1.07432469E+5,
556.00,1.05480898E+5,
557.00,1.03861883E+5,
558.00,1.03966039E+5,
559.00,1.00031547E+5,
560.00,9.75375938E+4,
561.00,9.53788984E+4,
562.00,9.36932969E+4,
563.00,9.03568203E+4,
564.00,8.84666016E+4,
565.00,8.72686719E+4,
566.00,8.54719766E+4,
567.00,8.28984609E+4,
568.00,8.11998516E+4,
569.00,7.88883984E+4,
570.00,7.87251484E+4,
571.00,7.62636328E+4,
572.00,7.38943438E+4,
573.00,7.24378438E+4,
574.00,7.08925703E+4,
575.00,6.87341563E+4,
576.00,6.77491641E+4,
577.00,6.56468906E+4,
578.00,6.40030508E+4,
579.00,6.18182969E+4,
580.00,6.13969648E+4,
581.00,5.97199375E+4,
582.00,5.83578789E+4,
583.00,5.63173828E+4,
584.00,5.52811914E+4,
585.00,5.39158008E+4,
586.00,5.25659922E+4,
587.00,5.10478164E+4,
588.00,5.10971797E+4,
589.00,4.90495547E+4,
590.00,4.80431836E+4,
591.00,4.62399766E+4,
592.00,4.52891875E+4,
593.00,4.40872969E+4,
594.00,4.27816992E+4,
595.00,4.21150898E+4,
596.00,4.07731875E+4,
597.00,3.91923125E+4,
598.00,3.88042188E+4,
599.00,3.79070664E+4,
600.00,3.74210586E+4,
601.00,3.62942344E+4,
602.00,3.46109336E+4,
603.00,3.46410820E+4,
604.00,3.35599570E+4,
605.00,3.23000527E+4,
606.00,3.10523750E+4,
607.00,3.03732383E+4,
608.00,3.01698125E+4,
609.00,2.92068457E+4,
610.00,2.86524629E+4,
611.00,2.78627598E+4,
612.00,2.73553164E+4,
613.00,2.63157324E+4,
614.00,2.55717676E+4,
615.00,2.50829746E+4,
616.00,2.46253281E+4,
617.00,2.37163965E+4,
618.00,2.32475313E+4,
619.00,2.23576191E+4,
620.00,2.18818398E+4,
621.00,2.13601797E+4,
622.00,2.06401953E+4,
623.00,2.04418359E+4,
624.00,1.93115547E+4,
625.00,1.92068945E+4,
626.00,1.81974316E+4,
627.00,1.76660195E+4,
628.00,1.76115684E+4,
629.00,1.71726348E+4,
630.00,1.62822959E+4,
631.00,1.63614619E+4,
632.00,1.53407998E+4,
633.00,1.51776934E+4,
634.00,1.47686299E+4,
635.00,1.44891055E+4,
636.00,1.39504385E+4,
637.00,1.39858018E+4,
638.00,1.34220215E+4,
639.00,1.32473965E+4,
640.00,1.29823545E+4,
641.00,1.19745205E+4,
642.00,1.17972959E+4,
643.00,1.16775859E+4,
644.00,1.14035859E+4,
645.00,1.06402715E+4,
646.00,1.04248594E+4,
647.00,1.02303242E+4,
648.00,1.03124180E+4,
649.00,9.12795605E+3,
650.00,9.81635840E+3,
651.00,9.21911719E+3,
652.00,8.62473828E+3,
653.00,8.72629688E+3,
654.00,8.16214697E+3,
655.00,8.31031641E+3,
656.00,7.65489844E+3,
657.00,7.90544141E+3,
658.00,7.86952539E+3,
659.00,8.08024463E+3,
660.00,8.33790332E+3,
661.00,8.98358887E+3,
662.00,8.81304785E+3,
663.00,7.27031689E+3,
664.00,6.78643506E+3,
665.00,6.52304297E+3,
666.00,6.45180078E+3,
667.00,5.93560889E+3,
668.00,5.83787109E+3,
669.00,6.03043896E+3,
670.00,5.76128711E+3,
671.00,5.88488232E+3,
672.00,5.49035596E+3,
673.00,5.01943896E+3,
674.00,5.00432617E+3,
675.00,4.86610107E+3,
676.00,4.94076465E+3,
677.00,5.30167920E+3,
678.00,4.71142529E+3,
679.00,4.65894922E+3,
680.00,3.88724365E+3,
681.00,3.88983569E+3,
682.00,3.71316162E+3,
683.00,3.41671655E+3,
684.00,3.64007324E+3,
685.00,3.49433081E+3,
686.00,3.38676709E+3,
687.00,3.25190332E+3,
688.00,3.38915479E+3,
689.00,3.11010278E+3,
690.00,3.01393628E+3,
691.00,2.73715308E+3,
692.00,2.80215869E+3,
693.00,2.83704663E+3,
694.00,2.91683398E+3,
695.00,2.89013550E+3,
696.00,2.63638037E+3,
697.00,2.35527197E+3,
698.00,2.79820508E+3,
699.00,2.11659155E+3,
700.00,1.94792419E+3,
