Labels,EmScan6,,,,,,,
Type,Emission Scan,,,,,,,
Comment,,,,,,,,
Start,470,,,,,,,
Stop,700,,,,,,,
Step,1,,,,,,,
Fixed/Offset,455,,,,,,,
Xaxis,Wavelength,,,,,,,
Yaxis,Counts,,,,,,,
Scan Corr. by File,TRUE,,,,,,,
Corr. by Ref. Det.,TRUE,,,,,,,
Fixed/Offset Corr. by File,FALSE,,,,,,,
Repeats,1,,,,,,,
Dwell Time,0.25,,,,,,,
Lamp,Xenon,,,,,,,
Temp,0,,,,,,,
Scan Polariser,None,,,,,,,
Scan Slit,1.4995272,,,,,,,
Fixed/Offset Polariser,None,,,,,,,
Fixed/Offset Slit,1.4995272,,,,,,,
Detector,Detector 1,,,,,,,
,,,,,,,,
470,1.55E+04,,,,,,,
471,1.74E+04,,,,,,,
472,1.99E+04,,,,,,,
473,2.26E+04,,,,,,,
474,2.56E+04,,,,,,,
475,2.91E+04,,,,,,,
476,3.31E+04,,,,,,,
477,3.68E+04,,,,,,,
478,4.21E+04,,,,,,,
479,4.62E+04,,,,,,,
480,5.14E+04,,,,,,,
481,5.65E+04,,,,,,,
482,6.21E+04,,,,,,,
483,6.79E+04,,,,,,,
484,7.42E+04,,,,,,,
485,7.98E+04,,,,,,,
486,8.59E+04,,,,,,,
487,9.27E+04,,,,,,,
488,9.86E+04,,,,,,,
489,1.05E+05,,,,,,,
490,1.10E+05,,,,,,,
491,1.16E+05,,,,,,,
492,1.21E+05,,,,,,,
493,1.27E+05,,,,,,,
494,1.31E+05,,,,,,,
495,1.36E+05,,,,,,,
496,1.41E+05,,,,,,,
497,1.45E+05,,,,,,,
498,1.50E+05,,,,,,,
499,1.54E+05,,,,,,,
500,1.58E+05,,,,,,,
501,1.61E+05,,,,,,,
502,1.64E+05,,,,,,,
503,1.68E+05,,,,,,,
504,1.72E+05,,,,,,,
505,1.73E+05,,,,,,,
506,1.76E+05,,,,,,,
507,1.78E+05,,,,,,,
508,1.80E+05,,,,,,,
509,1.81E+05,,,,,,,
510,1.82E+05,,,,,,,
511,1.84E+05,,,,,,,
512,1.85E+05,,,,,,,
513,1.85E+05,,,,,,,
514,1.86E+05,,,,,,,
515,1.87E+05,,,,,,,
516,1.89E+05,,,,,,,
517,1.88E+05,,,,,,,
518,1.87E+05,,,,,,,
519,1.87E+05,,,,,,,
520,1.88E+05,,,,,,,
521,1.87E+05,,,,,,,
522,1.87E+05,,,,,,,
523,1.87E+05,,,,,,,
524,1.85E+05,,,,,,,
525,1.84E+05,,,,,,,
526,1.84E+05,,,,,,,
527,1.83E+05,,,,,,,
528,1.81E+05,,,,,,,
529,1.81E+05,,,,,,,
530,1.79E+05,,,,,,,
531,1.77E+05,,,,,,,
532,1.77E+05,,,,,,,
533,1.75E+05,,,,,,,
534,1.73E+05,,,,,,,
535,1.73E+05,,,,,,,
536,1.70E+05,,,,,,,
537,1.69E+05,,,,,,,
538,1.68E+05,,,,,,,
539,1.65E+05,,,,,,,
540,1.65E+05,,,,,,,
541,1.62E+05,,,,,,,
542,1.58E+05,,,,,,,
543,1.57E+05,,,,,,,
544,1.55E+05,,,,,,,
545,1.52E+05,,,,,,,
546,1.52E+05,,,,,,,
547,1.49E+05,,,,,,,
548,1.46E+05,,,,,,,
549,1.44E+05,,,,,,,
550,1.41E+05,,,,,,,
551,1.38E+05,,,,,,,
552,1.34E+05,,,,,,,
553,1.32E+05,,,,,,,
554,1.29E+05,,,,,,,
555,1.27E+05,,,,,,,
556,1.25E+05,,,,,,,
557,1.23E+05,,,,,,,
558,1.21E+05,,,,,,,
559,1.19E+05,,,,,,,
560,1.16E+05,,,,,,,
561,1.13E+05,,,,,,,
562,1.10E+05,,,,,,,
563,1.08E+05,,,,,,,
564,1.06E+05,,,,,,,
565,1.04E+05,,,,,,,
566,1.01E+05,,,,,,,
567,9.95E+04,,,,,,,
568,9.66E+04,,,,,,,
569,9.43E+04,,,,,,,
570,9.29E+04,,,,,,,
571,9.12E+04,,,,,,,
572,8.81E+04,,,,,,,
573,8.66E+04,,,,,,,
574,8.40E+04,,,,,,,
575,8.23E+04,,,,,,,
576,8.09E+04,,,,,,,
577,7.81E+04,,,,,,,
578,7.67E+04,,,,,,,
579,7.44E+04,,,,,,,
580,7.30E+04,,,,,,,
581,7.13E+04,,,,,,,
582,6.92E+04,,,,,,,
583,6.82E+04,,,,,,,
584,6.54E+04,,,,,,,
585,6.41E+04,,,,,,,
586,6.25E+04,,,,,,,
587,6.11E+04,,,,,,,
588,5.92E+04,,,,,,,
589,5.73E+04,,,,,,,
590,5.67E+04,,,,,,,
591,5.50E+04,,,,,,,
592,5.35E+04,,,,,,,
593,5.24E+04,,,,,,,
594,5.09E+04,,,,,,,
595,4.99E+04,,,,,,,
596,4.83E+04,,,,,,,
597,4.70E+04,,,,,,,
598,4.63E+04,,,,,,,
599,4.47E+04,,,,,,,
600,4.38E+04,,,,,,,
601,4.30E+04,,,,,,,
602,4.16E+04,,,,,,,
603,4.08E+04,,,,,,,
604,3.95E+04,,,,,,,
605,3.82E+04,,,,,,,
606,3.80E+04,,,,,,,
607,3.65E+04,,,,,,,
608,3.64E+04,,,,,,,
609,3.49E+04,,,,,,,
610,3.41E+04,,,,,,,
611,3.33E+04,,,,,,,
612,3.21E+04,,,,,,,
613,3.06E+04,,,,,,,
614,3.10E+04,,,,,,,
615,2.99E+04,,,,,,,
616,2.87E+04,,,,,,,
617,2.76E+04,,,,,,,
618,2.69E+04,,,,,,,
619,2.61E+04,,,,,,,
620,2.49E+04,,,,,,,
621,2.47E+04,,,,,,,
622,2.44E+04,,,,,,,
623,2.43E+04,,,,,,,
624,2.26E+04,,,,,,,
625,2.19E+04,,,,,,,
626,2.19E+04,,,,,,,
627,2.14E+04,,,,,,,
628,2.09E+04,,,,,,,
629,2.01E+04,,,,,,,
630,1.95E+04,,,,,,,
631,1.85E+04,,,,,,,
632,1.84E+04,,,,,,,
633,1.79E+04,,,,,,,
634,1.75E+04,,,,,,,
635,1.67E+04,,,,,,,
636,1.65E+04,,,,,,,
637,1.59E+04,,,,,,,
638,1.53E+04,,,,,,,
639,1.50E+04,,,,,,,
640,1.46E+04,,,,,,,
641,1.42E+04,,,,,,,
642,1.41E+04,,,,,,,
643,1.39E+04,,,,,,,
644,1.31E+04,,,,,,,
645,1.26E+04,,,,,,,
646,1.24E+04,,,,,,,
647,1.21E+04,,,,,,,
648,1.16E+04,,,,,,,
649,1.19E+04,,,,,,,
650,1.09E+04,,,,,,,
651,1.06E+04,,,,,,,
652,1.03E+04,,,,,,,
653,1.01E+04,,,,,,,
654,9.95E+03,,,,,,,
655,9.30E+03,,,,,,,
656,9.48E+03,,,,,,,
657,8.81E+03,,,,,,,
658,9.14E+03,,,,,,,
659,9.41E+03,,,,,,,
660,1.00E+04,,,,,,,
661,1.03E+04,,,,,,,
662,9.20E+03,,,,,,,
663,7.99E+03,,,,,,,
664,7.82E+03,,,,,,,
665,6.99E+03,,,,,,,
666,7.16E+03,,,,,,,
667,6.61E+03,,,,,,,
668,6.86E+03,,,,,,,
669,6.36E+03,,,,,,,
670,6.47E+03,,,,,,,
671,6.23E+03,,,,,,,
672,5.66E+03,,,,,,,
673,5.71E+03,,,,,,,
674,5.91E+03,,,,,,,
675,5.70E+03,,,,,,,
676,5.80E+03,,,,,,,
677,5.58E+03,,,,,,,
678,5.41E+03,,,,,,,
679,5.22E+03,,,,,,,
680,4.44E+03,,,,,,,
681,4.25E+03,,,,,,,
682,4.07E+03,,,,,,,
683,4.39E+03,,,,,,,
684,3.99E+03,,,,,,,
685,4.22E+03,,,,,,,
686,3.82E+03,,,,,,,
687,3.79E+03,,,,,,,
688,3.69E+03,,,,,,,
689,3.83E+03,,,,,,,
690,3.68E+03,,,,,,,
691,3.24E+03,,,,,,,
692,3.43E+03,,,,,,,
693,3.20E+03,,,,,,,
694,3.29E+03,,,,,,,
695,2.79E+03,,,,,,,
696,3.03E+03,,,,,,,
697,2.97E+03,,,,,,,
698,2.75E+03,,,,,,,
699,2.74E+03,,,,,,,
700,2.84E+03,,,,,,,
