Labels,EmScan6,
Type,Emission Scan,
Comment,,
Start,460.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,445.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.25,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

460.00,1.67998462E+3,
461.00,1.83033484E+3,
462.00,1.97305481E+3,
463.00,2.35400464E+3,
464.00,2.61160767E+3,
465.00,2.90422046E+3,
466.00,3.50074341E+3,
467.00,4.03695386E+3,
468.00,4.63226514E+3,
469.00,5.36768604E+3,
470.00,6.54941309E+3,
471.00,7.65752441E+3,
472.00,8.65848535E+3,
473.00,9.80758301E+3,
474.00,1.10286279E+4,
475.00,1.23176973E+4,
476.00,1.39023008E+4,
477.00,1.57938301E+4,
478.00,1.75219375E+4,
479.00,1.91528789E+4,
480.00,2.13378809E+4,
481.00,2.28988457E+4,
482.00,2.57876699E+4,
483.00,2.82531211E+4,
484.00,3.01697539E+4,
485.00,3.24545898E+4,
486.00,3.51013398E+4,
487.00,3.69512148E+4,
488.00,3.92022617E+4,
489.00,4.15298867E+4,
490.00,4.37051523E+4,
491.00,4.65505117E+4,
492.00,4.83319492E+4,
493.00,5.07483281E+4,
494.00,5.24910273E+4,
495.00,5.45603125E+4,
496.00,5.61986289E+4,
497.00,5.82613750E+4,
498.00,5.97215352E+4,
499.00,6.15027852E+4,
500.00,6.36282891E+4,
501.00,6.33932813E+4,
502.00,6.59382891E+4,
503.00,6.84550625E+4,
504.00,6.94646875E+4,
505.00,6.97842266E+4,
506.00,7.03302969E+4,
507.00,6.98292109E+4,
508.00,6.92364375E+4,
509.00,7.10533516E+4,
510.00,7.12845703E+4,
511.00,7.07699766E+4,
512.00,7.29133672E+4,
513.00,7.47383906E+4,
514.00,7.68918438E+4,
515.00,7.75578906E+4,
516.00,7.72765000E+4,
517.00,7.83817109E+4,
518.00,7.73455000E+4,
519.00,7.62669844E+4,
520.00,7.53870234E+4,
521.00,7.55664531E+4,
522.00,7.61312266E+4,
523.00,7.53969141E+4,
524.00,7.43677813E+4,
525.00,7.24013516E+4,
526.00,7.14944844E+4,
527.00,7.16670625E+4,
528.00,7.00965703E+4,
529.00,6.84268516E+4,
530.00,6.72161875E+4,
531.00,6.80102969E+4,
532.00,6.77471172E+4,
533.00,6.68006328E+4,
534.00,6.77835156E+4,
535.00,6.62245859E+4,
536.00,6.51663633E+4,
537.00,6.38654414E+4,
538.00,6.44501563E+4,
539.00,6.47104063E+4,
540.00,6.45748086E+4,
541.00,6.38173867E+4,
542.00,6.30743047E+4,
543.00,6.16171719E+4,
544.00,6.11476680E+4,
545.00,6.05207656E+4,
546.00,5.91374375E+4,
547.00,5.77570469E+4,
548.00,5.58461367E+4,
549.00,5.47299766E+4,
550.00,5.44495859E+4,
551.00,5.32991133E+4,
552.00,5.24864414E+4,
553.00,5.14243867E+4,
554.00,5.04895625E+4,
555.00,5.11346641E+4,
556.00,4.90362773E+4,
557.00,4.76636523E+4,
558.00,4.62370391E+4,
559.00,4.54562852E+4,
560.00,4.26082617E+4,
561.00,4.23288516E+4,
562.00,4.15089258E+4,
563.00,4.12052695E+4,
564.00,4.03721836E+4,
565.00,3.99469531E+4,
566.00,3.92128984E+4,
567.00,3.74139961E+4,
568.00,3.59974336E+4,
569.00,3.51883633E+4,
570.00,3.49814961E+4,
571.00,3.45055664E+4,
572.00,3.37233398E+4,
573.00,3.22741895E+4,
574.00,3.08480840E+4,
575.00,3.08563457E+4,
576.00,2.97524336E+4,
577.00,2.93338535E+4,
578.00,2.90706465E+4,
579.00,2.81547422E+4,
580.00,2.71904512E+4,
581.00,2.70548613E+4,
582.00,2.60887754E+4,
583.00,2.58853867E+4,
584.00,2.53232227E+4,
585.00,2.45035098E+4,
586.00,2.33968379E+4,
587.00,2.32987305E+4,
588.00,2.26974648E+4,
589.00,2.22127773E+4,
590.00,2.13630234E+4,
591.00,2.05354844E+4,
592.00,2.07135254E+4,
593.00,1.97185508E+4,
594.00,1.90339512E+4,
595.00,1.88703691E+4,
596.00,1.81806914E+4,
597.00,1.79936699E+4,
598.00,1.71273906E+4,
599.00,1.70094922E+4,
600.00,1.65569824E+4,
601.00,1.64231543E+4,
602.00,1.63308838E+4,
603.00,1.53238809E+4,
604.00,1.52018350E+4,
605.00,1.50222695E+4,
606.00,1.40576006E+4,
607.00,1.38905254E+4,
608.00,1.37184707E+4,
609.00,1.25607920E+4,
610.00,1.27927695E+4,
611.00,1.22611865E+4,
612.00,1.21166807E+4,
613.00,1.17973574E+4,
614.00,1.15042461E+4,
615.00,1.12031016E+4,
616.00,1.07695986E+4,
617.00,1.04341357E+4,
618.00,1.05165391E+4,
619.00,1.01863721E+4,
620.00,1.02104180E+4,
621.00,9.53690625E+3,
622.00,8.89916504E+3,
623.00,8.77694336E+3,
624.00,8.55845508E+3,
625.00,8.47633398E+3,
626.00,7.91904834E+3,
627.00,7.99481396E+3,
628.00,7.28725391E+3,
629.00,7.13601660E+3,
630.00,6.95997656E+3,
631.00,7.34943408E+3,
632.00,6.91734668E+3,
633.00,6.63415234E+3,
634.00,6.37399707E+3,
635.00,6.22610547E+3,
636.00,6.42881250E+3,
637.00,5.99948340E+3,
638.00,5.82877686E+3,
639.00,5.98906445E+3,
640.00,5.58813330E+3,
641.00,5.47353760E+3,
642.00,5.28790381E+3,
643.00,5.52948242E+3,
644.00,5.20780420E+3,
645.00,5.26687549E+3,
646.00,5.04451611E+3,
647.00,5.29719189E+3,
648.00,5.15256543E+3,
649.00,4.75361816E+3,
650.00,4.26125732E+3,
651.00,4.17082080E+3,
652.00,4.28404297E+3,
653.00,4.16068359E+3,
654.00,3.85255103E+3,
655.00,3.70260962E+3,
656.00,3.38710962E+3,
657.00,3.79765063E+3,
658.00,3.67684082E+3,
659.00,3.30584912E+3,
660.00,3.08003882E+3,
661.00,3.24296582E+3,
662.00,3.11267310E+3,
663.00,3.00680542E+3,
664.00,2.99455884E+3,
665.00,2.83161304E+3,
666.00,2.76735571E+3,
667.00,2.77047778E+3,
668.00,2.51534131E+3,
669.00,2.64386353E+3,
670.00,2.45595337E+3,
671.00,2.30652002E+3,
672.00,2.36316968E+3,
673.00,2.00758191E+3,
674.00,2.12776587E+3,
675.00,2.04227490E+3,
676.00,2.04809668E+3,
677.00,1.96738660E+3,
678.00,2.09828296E+3,
679.00,1.97796301E+3,
680.00,1.92367664E+3,
681.00,1.85918689E+3,
682.00,1.72883081E+3,
683.00,1.46787439E+3,
684.00,1.60846570E+3,
685.00,1.68367603E+3,
686.00,1.54081812E+3,
687.00,1.33190735E+3,
688.00,1.53220544E+3,
689.00,1.43746985E+3,
690.00,1.19773621E+3,
691.00,1.51382703E+3,
692.00,1.30722498E+3,
693.00,1.15375403E+3,
694.00,1.18262000E+3,
695.00,1.03934387E+3,
696.00,1.12499573E+3,
697.00,1.02825549E+3,
698.00,9.49819092E+2,
699.00,1.09141309E+3,
700.00,9.46584045E+2,
