Labels,EmScan4,
Type,Emission Scan,
Comment,,
Start,460.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,445.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

460.00,3.95945459E+3,
461.00,3.91778247E+3,
462.00,4.54670459E+3,
463.00,4.90765234E+3,
464.00,5.63365186E+3,
465.00,6.77651953E+3,
466.00,7.48373828E+3,
467.00,8.99932422E+3,
468.00,1.05112998E+4,
469.00,1.21033047E+4,
470.00,1.37409570E+4,
471.00,1.59740029E+4,
472.00,1.78116250E+4,
473.00,2.04981406E+4,
474.00,2.33027500E+4,
475.00,2.62883926E+4,
476.00,2.96000469E+4,
477.00,3.28520117E+4,
478.00,3.67318047E+4,
479.00,4.12325508E+4,
480.00,4.49271289E+4,
481.00,4.97621250E+4,
482.00,5.47325781E+4,
483.00,5.97656836E+4,
484.00,6.41059805E+4,
485.00,6.88862813E+4,
486.00,7.40165078E+4,
487.00,7.88250703E+4,
488.00,8.36382813E+4,
489.00,8.86878125E+4,
490.00,9.42375000E+4,
491.00,9.84365703E+4,
492.00,1.03730367E+5,
493.00,1.07370680E+5,
494.00,1.12823430E+5,
495.00,1.15619336E+5,
496.00,1.18200992E+5,
497.00,1.22830055E+5,
498.00,1.26297281E+5,
499.00,1.29532867E+5,
500.00,1.32562313E+5,
501.00,1.35356125E+5,
502.00,1.36642266E+5,
503.00,1.39835516E+5,
504.00,1.41542484E+5,
505.00,1.41810859E+5,
506.00,1.44166328E+5,
507.00,1.45240688E+5,
508.00,1.48050719E+5,
509.00,1.48991703E+5,
510.00,1.49576000E+5,
511.00,1.49998375E+5,
512.00,1.51667859E+5,
513.00,1.52320469E+5,
514.00,1.52343141E+5,
515.00,1.53806297E+5,
516.00,1.52764984E+5,
517.00,1.54841891E+5,
518.00,1.55849578E+5,
519.00,1.55818141E+5,
520.00,1.54797906E+5,
521.00,1.55726422E+5,
522.00,1.55152953E+5,
523.00,1.55746266E+5,
524.00,1.54233094E+5,
525.00,1.55105641E+5,
526.00,1.54098547E+5,
527.00,1.52365766E+5,
528.00,1.52296734E+5,
529.00,1.50424688E+5,
530.00,1.48888938E+5,
531.00,1.47491031E+5,
532.00,1.46405969E+5,
533.00,1.44496750E+5,
534.00,1.42390734E+5,
535.00,1.40884219E+5,
536.00,1.38386438E+5,
537.00,1.36886875E+5,
538.00,1.34961891E+5,
539.00,1.33912750E+5,
540.00,1.31592594E+5,
541.00,1.30413781E+5,
542.00,1.27528250E+5,
543.00,1.26338758E+5,
544.00,1.24260063E+5,
545.00,1.22677188E+5,
546.00,1.21628383E+5,
547.00,1.19524133E+5,
548.00,1.16290102E+5,
549.00,1.14919195E+5,
550.00,1.12941539E+5,
551.00,1.10932602E+5,
552.00,1.08005039E+5,
553.00,1.06643547E+5,
554.00,1.04795656E+5,
555.00,1.04017195E+5,
556.00,1.00727289E+5,
557.00,9.87734063E+4,
558.00,9.68837109E+4,
559.00,9.55832656E+4,
560.00,9.35223203E+4,
561.00,9.09077734E+4,
562.00,8.87715547E+4,
563.00,8.80001250E+4,
564.00,8.66618906E+4,
565.00,8.29740234E+4,
566.00,8.10269297E+4,
567.00,7.89556406E+4,
568.00,7.77691172E+4,
569.00,7.74475469E+4,
570.00,7.43532578E+4,
571.00,7.28351250E+4,
572.00,7.02040938E+4,
573.00,6.94086563E+4,
574.00,6.76661484E+4,
575.00,6.62305547E+4,
576.00,6.49282617E+4,
577.00,6.31106484E+4,
578.00,6.12954531E+4,
579.00,5.98041758E+4,
580.00,5.86505391E+4,
581.00,5.78770156E+4,
582.00,5.61422344E+4,
583.00,5.40272813E+4,
584.00,5.31397656E+4,
585.00,5.19235508E+4,
586.00,5.03110000E+4,
587.00,5.01180859E+4,
588.00,4.88141875E+4,
589.00,4.80294531E+4,
590.00,4.55197109E+4,
591.00,4.45729297E+4,
592.00,4.41553477E+4,
593.00,4.28162422E+4,
594.00,4.14717109E+4,
595.00,4.08207266E+4,
596.00,4.00197930E+4,
597.00,3.88774727E+4,
598.00,3.80396289E+4,
599.00,3.67994609E+4,
600.00,3.57708945E+4,
601.00,3.56725313E+4,
602.00,3.39176758E+4,
603.00,3.31426172E+4,
604.00,3.30628047E+4,
605.00,3.11021152E+4,
606.00,3.01733945E+4,
607.00,2.99054141E+4,
608.00,2.92533770E+4,
609.00,2.78710234E+4,
610.00,2.69545742E+4,
611.00,2.70721738E+4,
612.00,2.56065742E+4,
613.00,2.52022305E+4,
614.00,2.47202598E+4,
615.00,2.34728789E+4,
616.00,2.30414453E+4,
617.00,2.23058809E+4,
618.00,2.17971582E+4,
619.00,2.13772109E+4,
620.00,2.07964180E+4,
621.00,2.01666992E+4,
622.00,2.03079980E+4,
623.00,1.98279316E+4,
624.00,1.85903633E+4,
625.00,1.81672305E+4,
626.00,1.76274707E+4,
627.00,1.73364355E+4,
628.00,1.63742627E+4,
629.00,1.61420371E+4,
630.00,1.60871748E+4,
631.00,1.56332119E+4,
632.00,1.48344766E+4,
633.00,1.44934160E+4,
634.00,1.42809912E+4,
635.00,1.41407891E+4,
636.00,1.42672217E+4,
637.00,1.32985557E+4,
638.00,1.33310537E+4,
639.00,1.22586611E+4,
640.00,1.27914209E+4,
641.00,1.19151572E+4,
642.00,1.12175352E+4,
643.00,1.12706660E+4,
644.00,1.11098086E+4,
645.00,1.04395498E+4,
646.00,1.14353613E+4,
647.00,1.16777617E+4,
648.00,1.01508770E+4,
649.00,9.62548145E+3,
650.00,9.56683594E+3,
651.00,8.84311328E+3,
652.00,8.40392676E+3,
653.00,8.70052734E+3,
654.00,8.32277637E+3,
655.00,7.82052148E+3,
656.00,7.28062256E+3,
657.00,7.52890088E+3,
658.00,7.48861914E+3,
659.00,7.19054443E+3,
660.00,7.24027344E+3,
661.00,6.38031348E+3,
662.00,6.32917236E+3,
663.00,6.91995801E+3,
664.00,6.01806592E+3,
665.00,5.59922021E+3,
666.00,5.67725244E+3,
667.00,5.97558057E+3,
668.00,5.83080713E+3,
669.00,5.52952588E+3,
670.00,5.25292920E+3,
671.00,5.78265576E+3,
672.00,4.73514502E+3,
673.00,4.85416895E+3,
674.00,4.84726367E+3,
675.00,4.89222217E+3,
676.00,4.41201221E+3,
677.00,4.19728662E+3,
678.00,4.05332471E+3,
679.00,4.43471582E+3,
680.00,3.48379248E+3,
681.00,3.65241919E+3,
682.00,3.53827417E+3,
683.00,3.22442065E+3,
684.00,3.04881616E+3,
685.00,3.06179077E+3,
686.00,3.16012671E+3,
687.00,3.10479199E+3,
688.00,3.01854517E+3,
689.00,3.03298853E+3,
690.00,2.79147461E+3,
691.00,2.87223853E+3,
692.00,2.44396851E+3,
693.00,2.81481152E+3,
694.00,2.76792017E+3,
695.00,2.37403125E+3,
696.00,2.36154004E+3,
697.00,2.44427075E+3,
698.00,2.34685718E+3,
699.00,2.21530249E+3,
700.00,2.08834058E+3,
