Labels,EmScan6,
Type,Emission Scan,
Comment,,
Start,460.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,445.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

460.00,3.94199854E+3,
461.00,4.08211035E+3,
462.00,4.35083154E+3,
463.00,5.08722803E+3,
464.00,5.78802686E+3,
465.00,6.46139111E+3,
466.00,7.67649902E+3,
467.00,8.88688672E+3,
468.00,1.01329629E+4,
469.00,1.19902979E+4,
470.00,1.33832041E+4,
471.00,1.56900967E+4,
472.00,1.76220664E+4,
473.00,2.00092949E+4,
474.00,2.26104219E+4,
475.00,2.58460469E+4,
476.00,2.89538770E+4,
477.00,3.21789961E+4,
478.00,3.64120078E+4,
479.00,3.99767070E+4,
480.00,4.40587656E+4,
481.00,4.85652500E+4,
482.00,5.22763320E+4,
483.00,5.77511445E+4,
484.00,6.17879492E+4,
485.00,6.74978750E+4,
486.00,7.10913125E+4,
487.00,7.64580625E+4,
488.00,8.03810859E+4,
489.00,8.52147656E+4,
490.00,8.97323047E+4,
491.00,9.52424531E+4,
492.00,9.92385625E+4,
493.00,1.02695531E+5,
494.00,1.05803672E+5,
495.00,1.10152992E+5,
496.00,1.13014070E+5,
497.00,1.17589430E+5,
498.00,1.19028984E+5,
499.00,1.22428539E+5,
500.00,1.24583508E+5,
501.00,1.26581867E+5,
502.00,1.28564773E+5,
503.00,1.31077922E+5,
504.00,1.33816047E+5,
505.00,1.35773484E+5,
506.00,1.37042453E+5,
507.00,1.37658578E+5,
508.00,1.37936766E+5,
509.00,1.40151094E+5,
510.00,1.41671406E+5,
511.00,1.42396359E+5,
512.00,1.42478438E+5,
513.00,1.43751703E+5,
514.00,1.44931422E+5,
515.00,1.44613344E+5,
516.00,1.45213219E+5,
517.00,1.46361156E+5,
518.00,1.47114969E+5,
519.00,1.47592406E+5,
520.00,1.46628219E+5,
521.00,1.46852250E+5,
522.00,1.47632578E+5,
523.00,1.47213031E+5,
524.00,1.46711859E+5,
525.00,1.45526750E+5,
526.00,1.45129141E+5,
527.00,1.44852031E+5,
528.00,1.43004438E+5,
529.00,1.40553344E+5,
530.00,1.40006781E+5,
531.00,1.38386781E+5,
532.00,1.37166828E+5,
533.00,1.36775453E+5,
534.00,1.32147656E+5,
535.00,1.32425938E+5,
536.00,1.30637203E+5,
537.00,1.27892086E+5,
538.00,1.26640250E+5,
539.00,1.25245172E+5,
540.00,1.24018656E+5,
541.00,1.22455000E+5,
542.00,1.20160836E+5,
543.00,1.19047594E+5,
544.00,1.16608328E+5,
545.00,1.15426773E+5,
546.00,1.14230297E+5,
547.00,1.12011719E+5,
548.00,1.09240297E+5,
549.00,1.08258156E+5,
550.00,1.06034109E+5,
551.00,1.03700422E+5,
552.00,1.01855117E+5,
553.00,1.00678727E+5,
554.00,9.82990078E+4,
555.00,9.71447422E+4,
556.00,9.39264219E+4,
557.00,9.20384297E+4,
558.00,9.04239922E+4,
559.00,8.91098906E+4,
560.00,8.67389141E+4,
561.00,8.53773828E+4,
562.00,8.33498984E+4,
563.00,8.08160000E+4,
564.00,7.93323750E+4,
565.00,7.83288906E+4,
566.00,7.66892344E+4,
567.00,7.44575547E+4,
568.00,7.16437031E+4,
569.00,7.01197734E+4,
570.00,6.91127188E+4,
571.00,6.72459922E+4,
572.00,6.61602578E+4,
573.00,6.42719492E+4,
574.00,6.23407813E+4,
575.00,6.12340625E+4,
576.00,5.94516367E+4,
577.00,5.76173359E+4,
578.00,5.75668008E+4,
579.00,5.55822266E+4,
580.00,5.44771758E+4,
581.00,5.28267305E+4,
582.00,5.14410781E+4,
583.00,5.03616758E+4,
584.00,4.89745859E+4,
585.00,4.76062070E+4,
586.00,4.67201016E+4,
587.00,4.49319375E+4,
588.00,4.42621406E+4,
589.00,4.36178398E+4,
590.00,4.28827031E+4,
591.00,4.11815742E+4,
592.00,3.99216953E+4,
593.00,3.88111953E+4,
594.00,3.79269531E+4,
595.00,3.69803203E+4,
596.00,3.58601172E+4,
597.00,3.49279180E+4,
598.00,3.45576289E+4,
599.00,3.32748281E+4,
600.00,3.19820117E+4,
601.00,3.23066953E+4,
602.00,3.12319629E+4,
603.00,3.00851191E+4,
604.00,2.95117012E+4,
605.00,2.87891602E+4,
606.00,2.72551289E+4,
607.00,2.74088359E+4,
608.00,2.63973262E+4,
609.00,2.63414512E+4,
610.00,2.43625430E+4,
611.00,2.43985137E+4,
612.00,2.36530762E+4,
613.00,2.29197188E+4,
614.00,2.17376250E+4,
615.00,2.10636270E+4,
616.00,2.15018027E+4,
617.00,2.07127598E+4,
618.00,2.01322168E+4,
619.00,1.94654102E+4,
620.00,1.90534434E+4,
621.00,1.84983711E+4,
622.00,1.80957383E+4,
623.00,1.70115332E+4,
624.00,1.69382383E+4,
625.00,1.66922539E+4,
626.00,1.68033184E+4,
627.00,1.57222930E+4,
628.00,1.51933672E+4,
629.00,1.44120068E+4,
630.00,1.46985693E+4,
631.00,1.40404336E+4,
632.00,1.38024814E+4,
633.00,1.35088877E+4,
634.00,1.30134063E+4,
635.00,1.24680127E+4,
636.00,1.24193076E+4,
637.00,1.19963682E+4,
638.00,1.14992490E+4,
639.00,1.14772578E+4,
640.00,1.09773887E+4,
641.00,1.07753594E+4,
642.00,1.05501816E+4,
643.00,9.66158594E+3,
644.00,9.94146289E+3,
645.00,1.01704463E+4,
646.00,1.07968926E+4,
647.00,1.00123945E+4,
648.00,9.19865332E+3,
649.00,8.64043750E+3,
650.00,8.21384180E+3,
651.00,8.10741211E+3,
652.00,7.45025928E+3,
653.00,7.60239502E+3,
654.00,7.76643066E+3,
655.00,7.31362402E+3,
656.00,7.21919287E+3,
657.00,6.96043359E+3,
658.00,6.60844580E+3,
659.00,6.27807861E+3,
660.00,6.49572803E+3,
661.00,6.28942822E+3,
662.00,5.92125342E+3,
663.00,6.11629492E+3,
664.00,5.80468896E+3,
665.00,5.77303516E+3,
666.00,5.81206689E+3,
667.00,5.66522314E+3,
668.00,5.56937305E+3,
669.00,5.11948975E+3,
670.00,5.02716113E+3,
671.00,5.04590820E+3,
672.00,4.99256006E+3,
673.00,4.28325635E+3,
674.00,4.64835693E+3,
675.00,4.55286768E+3,
676.00,4.55422314E+3,
677.00,4.04319556E+3,
678.00,4.20635205E+3,
679.00,4.25882617E+3,
680.00,3.45971387E+3,
681.00,3.00249707E+3,
682.00,3.30623926E+3,
683.00,3.38545361E+3,
684.00,3.06523145E+3,
685.00,3.45368945E+3,
686.00,2.66818555E+3,
687.00,2.96836304E+3,
688.00,2.65594873E+3,
689.00,2.84106494E+3,
690.00,2.64149634E+3,
691.00,2.36372681E+3,
692.00,2.46814063E+3,
693.00,2.41717700E+3,
694.00,2.31974194E+3,
695.00,1.92960046E+3,
696.00,2.16396851E+3,
697.00,2.16729761E+3,
698.00,2.14197217E+3,
699.00,2.22364868E+3,
700.00,1.73984875E+3,
