Labels,EmScan5,,,,,,,
Type,Emission Scan,,,,,,,
Comment,,,,,,,,
Start,460,,,,,,,
Stop,700,,,,,,,
Step,1,,,,,,,
Fixed/Offset,445,,,,,,,
Xaxis,Wavelength,,,,,,,
Yaxis,Counts,,,,,,,
Scan Corr. by File,TRUE,,,,,,,
Corr. by Ref. Det.,TRUE,,,,,,,
Fixed/Offset Corr. by File,FALSE,,,,,,,
Repeats,1,,,,,,,
Dwell Time,0.25,,,,,,,
Lamp,Xenon,,,,,,,
Temp,0,,,,,,,
Scan Polariser,None,,,,,,,
Scan Slit,1.4995272,,,,,,,
Fixed/Offset Polariser,None,,,,,,,
Fixed/Offset Slit,1.4995272,,,,,,,
Detector,Detector 1,,,,,,,
,,,,,,,,
460,4.97E+03,,,,,,,
461,5.07E+03,,,,,,,
462,5.61E+03,,,,,,,
463,6.41E+03,,,,,,,
464,7.47E+03,,,,,,,
465,8.60E+03,,,,,,,
466,1.00E+04,,,,,,,
467,1.18E+04,,,,,,,
468,1.36E+04,,,,,,,
469,1.58E+04,,,,,,,
470,1.81E+04,,,,,,,
471,2.10E+04,,,,,,,
472,2.37E+04,,,,,,,
473,2.77E+04,,,,,,,
474,3.09E+04,,,,,,,
475,3.51E+04,,,,,,,
476,3.98E+04,,,,,,,
477,4.42E+04,,,,,,,
478,4.96E+04,,,,,,,
479,5.53E+04,,,,,,,
480,6.03E+04,,,,,,,
481,6.64E+04,,,,,,,
482,7.28E+04,,,,,,,
483,7.94E+04,,,,,,,
484,8.62E+04,,,,,,,
485,9.19E+04,,,,,,,
486,9.81E+04,,,,,,,
487,1.05E+05,,,,,,,
488,1.11E+05,,,,,,,
489,1.18E+05,,,,,,,
490,1.24E+05,,,,,,,
491,1.30E+05,,,,,,,
492,1.36E+05,,,,,,,
493,1.42E+05,,,,,,,
494,1.48E+05,,,,,,,
495,1.53E+05,,,,,,,
496,1.57E+05,,,,,,,
497,1.61E+05,,,,,,,
498,1.66E+05,,,,,,,
499,1.69E+05,,,,,,,
500,1.72E+05,,,,,,,
501,1.75E+05,,,,,,,
502,1.77E+05,,,,,,,
503,1.80E+05,,,,,,,
504,1.83E+05,,,,,,,
505,1.85E+05,,,,,,,
506,1.88E+05,,,,,,,
507,1.89E+05,,,,,,,
508,1.90E+05,,,,,,,
509,1.92E+05,,,,,,,
510,1.93E+05,,,,,,,
511,1.95E+05,,,,,,,
512,1.94E+05,,,,,,,
513,1.96E+05,,,,,,,
514,1.97E+05,,,,,,,
515,1.97E+05,,,,,,,
516,1.99E+05,,,,,,,
517,2.00E+05,,,,,,,
518,1.99E+05,,,,,,,
519,2.01E+05,,,,,,,
520,2.01E+05,,,,,,,
521,2.01E+05,,,,,,,
522,2.01E+05,,,,,,,
523,1.99E+05,,,,,,,
524,1.98E+05,,,,,,,
525,1.98E+05,,,,,,,
526,1.96E+05,,,,,,,
527,1.95E+05,,,,,,,
528,1.94E+05,,,,,,,
529,1.92E+05,,,,,,,
530,1.91E+05,,,,,,,
531,1.88E+05,,,,,,,
532,1.86E+05,,,,,,,
533,1.85E+05,,,,,,,
534,1.82E+05,,,,,,,
535,1.81E+05,,,,,,,
536,1.78E+05,,,,,,,
537,1.75E+05,,,,,,,
538,1.73E+05,,,,,,,
539,1.71E+05,,,,,,,
540,1.69E+05,,,,,,,
541,1.66E+05,,,,,,,
542,1.65E+05,,,,,,,
543,1.62E+05,,,,,,,
544,1.59E+05,,,,,,,
545,1.58E+05,,,,,,,
546,1.56E+05,,,,,,,
547,1.53E+05,,,,,,,
548,1.49E+05,,,,,,,
549,1.46E+05,,,,,,,
550,1.44E+05,,,,,,,
551,1.41E+05,,,,,,,
552,1.38E+05,,,,,,,
553,1.36E+05,,,,,,,
554,1.33E+05,,,,,,,
555,1.32E+05,,,,,,,
556,1.29E+05,,,,,,,
557,1.25E+05,,,,,,,
558,1.23E+05,,,,,,,
559,1.20E+05,,,,,,,
560,1.18E+05,,,,,,,
561,1.15E+05,,,,,,,
562,1.12E+05,,,,,,,
563,1.10E+05,,,,,,,
564,1.08E+05,,,,,,,
565,1.04E+05,,,,,,,
566,1.03E+05,,,,,,,
567,9.99E+04,,,,,,,
568,9.84E+04,,,,,,,
569,9.55E+04,,,,,,,
570,9.28E+04,,,,,,,
571,9.11E+04,,,,,,,
572,8.94E+04,,,,,,,
573,8.73E+04,,,,,,,
574,8.45E+04,,,,,,,
575,8.30E+04,,,,,,,
576,8.15E+04,,,,,,,
577,7.94E+04,,,,,,,
578,7.74E+04,,,,,,,
579,7.54E+04,,,,,,,
580,7.41E+04,,,,,,,
581,7.14E+04,,,,,,,
582,7.02E+04,,,,,,,
583,6.90E+04,,,,,,,
584,6.75E+04,,,,,,,
585,6.46E+04,,,,,,,
586,6.43E+04,,,,,,,
587,6.29E+04,,,,,,,
588,6.09E+04,,,,,,,
589,5.99E+04,,,,,,,
590,5.88E+04,,,,,,,
591,5.68E+04,,,,,,,
592,5.53E+04,,,,,,,
593,5.40E+04,,,,,,,
594,5.25E+04,,,,,,,
595,5.05E+04,,,,,,,
596,5.05E+04,,,,,,,
597,4.88E+04,,,,,,,
598,4.73E+04,,,,,,,
599,4.66E+04,,,,,,,
600,4.59E+04,,,,,,,
601,4.44E+04,,,,,,,
602,4.32E+04,,,,,,,
603,4.32E+04,,,,,,,
604,4.08E+04,,,,,,,
605,4.05E+04,,,,,,,
606,3.91E+04,,,,,,,
607,3.84E+04,,,,,,,
608,3.63E+04,,,,,,,
609,3.64E+04,,,,,,,
610,3.57E+04,,,,,,,
611,3.39E+04,,,,,,,
612,3.36E+04,,,,,,,
613,3.23E+04,,,,,,,
614,3.24E+04,,,,,,,
615,3.04E+04,,,,,,,
616,3.03E+04,,,,,,,
617,2.92E+04,,,,,,,
618,2.90E+04,,,,,,,
619,2.74E+04,,,,,,,
620,2.67E+04,,,,,,,
621,2.64E+04,,,,,,,
622,2.47E+04,,,,,,,
623,2.47E+04,,,,,,,
624,2.38E+04,,,,,,,
625,2.40E+04,,,,,,,
626,2.25E+04,,,,,,,
627,2.17E+04,,,,,,,
628,2.15E+04,,,,,,,
629,2.06E+04,,,,,,,
630,2.00E+04,,,,,,,
631,1.96E+04,,,,,,,
632,1.88E+04,,,,,,,
633,1.81E+04,,,,,,,
634,1.80E+04,,,,,,,
635,1.75E+04,,,,,,,
636,1.73E+04,,,,,,,
637,1.63E+04,,,,,,,
638,1.64E+04,,,,,,,
639,1.56E+04,,,,,,,
640,1.51E+04,,,,,,,
641,1.51E+04,,,,,,,
642,1.45E+04,,,,,,,
643,1.37E+04,,,,,,,
644,1.37E+04,,,,,,,
645,1.43E+04,,,,,,,
646,1.42E+04,,,,,,,
647,1.37E+04,,,,,,,
648,1.30E+04,,,,,,,
649,1.24E+04,,,,,,,
650,1.17E+04,,,,,,,
651,1.09E+04,,,,,,,
652,1.09E+04,,,,,,,
653,1.08E+04,,,,,,,
654,1.01E+04,,,,,,,
655,9.49E+03,,,,,,,
656,9.64E+03,,,,,,,
657,9.33E+03,,,,,,,
658,8.75E+03,,,,,,,
659,8.90E+03,,,,,,,
660,8.79E+03,,,,,,,
661,8.40E+03,,,,,,,
662,7.99E+03,,,,,,,
663,7.51E+03,,,,,,,
664,7.28E+03,,,,,,,
665,7.43E+03,,,,,,,
666,7.20E+03,,,,,,,
667,7.22E+03,,,,,,,
668,7.40E+03,,,,,,,
669,6.62E+03,,,,,,,
670,7.04E+03,,,,,,,
671,6.67E+03,,,,,,,
672,6.59E+03,,,,,,,
673,5.99E+03,,,,,,,
674,5.98E+03,,,,,,,
675,5.89E+03,,,,,,,
676,5.50E+03,,,,,,,
677,5.15E+03,,,,,,,
678,5.20E+03,,,,,,,
679,4.91E+03,,,,,,,
680,4.38E+03,,,,,,,
681,4.50E+03,,,,,,,
682,4.58E+03,,,,,,,
683,4.47E+03,,,,,,,
684,4.10E+03,,,,,,,
685,3.86E+03,,,,,,,
686,3.83E+03,,,,,,,
687,4.12E+03,,,,,,,
688,3.42E+03,,,,,,,
689,3.56E+03,,,,,,,
690,3.65E+03,,,,,,,
691,3.60E+03,,,,,,,
692,3.63E+03,,,,,,,
693,3.37E+03,,,,,,,
694,3.21E+03,,,,,,,
695,3.26E+03,,,,,,,
696,2.95E+03,,,,,,,
697,2.99E+03,,,,,,,
698,2.78E+03,,,,,,,
699,2.52E+03,,,,,,,
700,2.87E+03,,,,,,,
