Labels,EmScan1
Type,Emission Scan
Comment,
Start,470
Stop,700
Step,1
Fixed/Offset,455
Xaxis,Wavelength
Yaxis,Counts
Scan Corr. by File,TRUE
Corr. by Ref. Det.,TRUE
Fixed/Offset Corr. by File,FALSE
Repeats,1
Dwell Time,0.5
Lamp,Xenon
Temp,0
Scan Polariser,None
Scan Slit,1.4995272
Fixed/Offset Polariser,None
Fixed/Offset Slit,1.4995272
Detector,Detector 1
,
470,9.01E+01
471,9.61E+01
472,9.51E+01
473,9.67E+01
474,1.09E+02
475,1.07E+02
476,1.16E+02
477,1.02E+02
478,1.16E+02
479,1.17E+02
480,1.07E+02
481,1.36E+02
482,1.22E+02
483,1.36E+02
484,1.49E+02
485,1.70E+02
486,1.81E+02
487,1.66E+02
488,2.05E+02
489,2.05E+02
490,1.99E+02
491,2.44E+02
492,2.15E+02
493,2.57E+02
494,2.31E+02
495,2.67E+02
496,2.33E+02
497,2.34E+02
498,2.45E+02
499,2.25E+02
500,2.33E+02
501,2.61E+02
502,3.09E+02
503,2.59E+02
504,3.02E+02
505,2.80E+02
506,3.02E+02
507,3.04E+02
508,3.04E+02
509,2.88E+02
510,2.62E+02
511,3.04E+02
512,3.17E+02
513,3.06E+02
514,3.28E+02
515,3.00E+02
516,3.12E+02
517,3.17E+02
518,3.12E+02
519,2.93E+02
520,3.07E+02
521,2.96E+02
522,2.93E+02
523,2.88E+02
524,2.83E+02
525,3.28E+02
526,3.13E+02
527,3.16E+02
528,3.27E+02
529,3.45E+02
530,3.67E+02
531,4.08E+02
532,4.14E+02
533,4.80E+02
534,5.75E+02
535,5.88E+02
536,6.43E+02
537,6.49E+02
538,6.08E+02
539,6.50E+02
540,6.68E+02
541,6.63E+02
542,6.42E+02
543,5.53E+02
544,4.79E+02
545,4.40E+02
546,4.14E+02
547,3.18E+02
548,2.68E+02
549,2.72E+02
550,2.16E+02
551,2.40E+02
552,2.23E+02
553,2.13E+02
554,2.25E+02
555,2.46E+02
556,1.97E+02
557,2.34E+02
558,2.49E+02
559,2.34E+02
560,2.20E+02
561,2.14E+02
562,1.98E+02
563,2.05E+02
564,1.83E+02
565,1.84E+02
566,1.78E+02
567,1.89E+02
568,1.52E+02
569,1.64E+02
570,1.88E+02
571,1.45E+02
572,1.71E+02
573,1.67E+02
574,1.72E+02
575,1.58E+02
576,1.46E+02
577,1.27E+02
578,1.27E+02
579,1.45E+02
580,1.65E+02
581,1.42E+02
582,1.66E+02
583,1.65E+02
584,1.43E+02
585,1.32E+02
586,1.34E+02
587,1.39E+02
588,1.21E+02
589,1.28E+02
590,1.33E+02
591,1.51E+02
592,1.04E+02
593,1.13E+02
594,1.23E+02
595,1.17E+02
596,1.33E+02
597,1.10E+02
598,1.23E+02
599,1.20E+02
600,1.31E+02
601,1.19E+02
602,1.02E+02
603,8.77E+01
604,8.85E+01
605,1.42E+02
606,1.12E+02
607,1.33E+02
608,8.56E+01
609,1.23E+02
610,9.26E+01
611,1.18E+02
612,1.14E+02
613,9.58E+01
614,8.74E+01
615,7.99E+01
616,1.25E+02
617,1.17E+02
618,9.70E+01
619,1.25E+02
620,1.05E+02
621,1.00E+02
622,1.39E+02
623,1.18E+02
624,8.86E+01
625,1.01E+02
626,1.30E+02
627,1.25E+02
628,8.20E+01
629,1.22E+02
630,9.24E+01
631,8.69E+01
632,1.10E+02
633,1.03E+02
634,8.88E+01
635,1.06E+02
636,1.31E+02
637,1.20E+02
638,1.09E+02
639,8.63E+01
640,1.28E+02
641,1.34E+02
642,1.27E+02
643,1.23E+02
644,1.21E+02
645,1.07E+02
646,1.04E+02
647,1.12E+02
648,1.15E+02
649,1.25E+02
650,1.26E+02
651,1.12E+02
652,9.50E+01
653,1.52E+02
654,1.11E+02
655,1.64E+02
656,1.45E+02
657,1.05E+02
658,1.04E+02
659,1.59E+02
660,1.49E+02
661,1.55E+02
662,1.50E+02
663,1.51E+02
664,8.52E+01
665,1.19E+02
666,1.23E+02
667,1.37E+02
668,1.13E+02
669,1.25E+02
670,1.26E+02
671,1.63E+02
672,1.68E+02
673,1.56E+02
674,1.30E+02
675,1.60E+02
676,1.68E+02
677,1.87E+02
678,1.57E+02
679,1.53E+02
680,1.87E+02
681,1.61E+02
682,1.35E+02
683,1.41E+02
684,1.68E+02
685,1.64E+02
686,1.47E+02
687,1.65E+02
688,1.68E+02
689,1.46E+02
690,1.09E+02
691,1.57E+02
692,2.07E+02
693,1.73E+02
694,2.47E+02
695,1.25E+02
696,1.23E+02
697,2.07E+02
698,1.75E+02
699,2.18E+02
700,1.23E+02
