Labels,EmScan7,
Type,Emission Scan,
Comment,,
Start,460.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,445.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.25,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

460.00,9.06977692E+1,
461.00,7.86408920E+1,
462.00,8.31699142E+1,
463.00,8.44137344E+1,
464.00,7.22975082E+1,
465.00,9.94743042E+1,
466.00,1.11396141E+2,
467.00,1.22160965E+2,
468.00,1.13421745E+2,
469.00,1.44324814E+2,
470.00,1.91136810E+2,
471.00,1.92253143E+2,
472.00,1.97224884E+2,
473.00,1.96748398E+2,
474.00,2.27092484E+2,
475.00,2.60772949E+2,
476.00,3.16675659E+2,
477.00,3.84226379E+2,
478.00,3.71577667E+2,
479.00,4.12628967E+2,
480.00,5.19403931E+2,
481.00,5.42539185E+2,
482.00,5.25310974E+2,
483.00,5.86222412E+2,
484.00,6.70784241E+2,
485.00,7.01474243E+2,
486.00,6.88563354E+2,
487.00,7.17954163E+2,
488.00,8.45083801E+2,
489.00,8.55817810E+2,
490.00,8.76634705E+2,
491.00,9.45027100E+2,
492.00,1.00047565E+3,
493.00,1.09600818E+3,
494.00,1.10595276E+3,
495.00,1.11001099E+3,
496.00,1.22089856E+3,
497.00,1.29926111E+3,
498.00,1.31627917E+3,
499.00,1.33209827E+3,
500.00,1.32697217E+3,
501.00,1.42458411E+3,
502.00,1.35383301E+3,
503.00,1.43720898E+3,
504.00,1.51917798E+3,
505.00,1.41759875E+3,
506.00,1.59696106E+3,
507.00,1.60681396E+3,
508.00,1.62330017E+3,
509.00,1.61830823E+3,
510.00,1.58022119E+3,
511.00,1.78194971E+3,
512.00,1.69111060E+3,
513.00,1.71437598E+3,
514.00,1.79527502E+3,
515.00,1.68004797E+3,
516.00,1.71600964E+3,
517.00,1.79464319E+3,
518.00,1.80593872E+3,
519.00,2.00422607E+3,
520.00,1.99532568E+3,
521.00,2.07077588E+3,
522.00,2.02989734E+3,
523.00,2.10802466E+3,
524.00,2.17460474E+3,
525.00,2.34356641E+3,
526.00,2.20476440E+3,
527.00,2.20013623E+3,
528.00,2.16023267E+3,
529.00,2.14053296E+3,
530.00,1.96878809E+3,
531.00,1.94867407E+3,
532.00,1.86864294E+3,
533.00,1.78517883E+3,
534.00,1.63496265E+3,
535.00,1.62387085E+3,
536.00,1.61206567E+3,
537.00,1.62919470E+3,
538.00,1.56936523E+3,
539.00,1.44883264E+3,
540.00,1.41247424E+3,
541.00,1.40103857E+3,
542.00,1.42673511E+3,
543.00,1.40698047E+3,
544.00,1.29573376E+3,
545.00,1.28699585E+3,
546.00,1.13836560E+3,
547.00,1.18633008E+3,
548.00,1.18045276E+3,
549.00,1.19207410E+3,
550.00,1.11840356E+3,
551.00,1.17510034E+3,
552.00,9.95558350E+2,
553.00,1.01251703E+3,
554.00,1.01839380E+3,
555.00,1.11009119E+3,
556.00,1.04678125E+3,
557.00,1.02817944E+3,
558.00,1.13784607E+3,
559.00,9.53119873E+2,
560.00,9.61167847E+2,
561.00,9.53630432E+2,
562.00,1.02027386E+3,
563.00,9.81999512E+2,
564.00,9.04694397E+2,
565.00,8.63938110E+2,
566.00,8.88329590E+2,
567.00,8.83970825E+2,
568.00,8.08200073E+2,
569.00,8.01253174E+2,
570.00,8.47056641E+2,
571.00,7.40695557E+2,
572.00,7.23130798E+2,
573.00,7.32549072E+2,
574.00,7.73038818E+2,
575.00,7.37348755E+2,
576.00,6.88162903E+2,
577.00,7.08237061E+2,
578.00,7.19875549E+2,
579.00,6.78581909E+2,
580.00,6.52505005E+2,
581.00,5.64957458E+2,
582.00,6.10713135E+2,
583.00,5.39596924E+2,
584.00,5.39512268E+2,
585.00,5.75664307E+2,
586.00,4.90454041E+2,
587.00,4.77891693E+2,
588.00,5.00315765E+2,
589.00,5.79637329E+2,
590.00,4.62427063E+2,
591.00,3.94688324E+2,
592.00,4.32186127E+2,
593.00,4.79023773E+2,
594.00,3.78403992E+2,
595.00,3.83623169E+2,
596.00,3.85035645E+2,
597.00,3.57126190E+2,
598.00,3.57967712E+2,
599.00,3.61426666E+2,
600.00,3.64640900E+2,
601.00,3.07925659E+2,
602.00,3.34231842E+2,
603.00,3.24989288E+2,
604.00,2.56727081E+2,
605.00,3.48494354E+2,
606.00,2.96432709E+2,
607.00,2.52694397E+2,
608.00,3.21878357E+2,
609.00,2.95314941E+2,
610.00,3.03486328E+2,
611.00,2.66018829E+2,
612.00,3.10518768E+2,
613.00,2.79949738E+2,
614.00,2.48618759E+2,
615.00,2.80538574E+2,
616.00,2.37780594E+2,
617.00,2.02365906E+2,
618.00,2.68224182E+2,
619.00,2.23716782E+2,
620.00,2.71705963E+2,
621.00,2.14877304E+2,
622.00,1.91296234E+2,
623.00,2.37420929E+2,
624.00,1.60332352E+2,
625.00,2.58735382E+2,
626.00,1.64459549E+2,
627.00,2.22075943E+2,
628.00,2.12450974E+2,
629.00,2.27650238E+2,
630.00,1.66653290E+2,
631.00,2.34076248E+2,
632.00,1.31729843E+2,
633.00,1.23504692E+2,
634.00,1.89578827E+2,
635.00,1.71662277E+2,
636.00,1.28907089E+2,
637.00,1.73443710E+2,
638.00,1.36752594E+2,
639.00,1.68047165E+2,
640.00,1.37579453E+2,
641.00,1.13821373E+2,
642.00,1.35290543E+2,
643.00,1.02024475E+2,
644.00,9.94365082E+1,
645.00,1.20838402E+2,
646.00,1.42491943E+2,
647.00,1.15235916E+2,
648.00,6.23843346E+1,
649.00,7.14322433E+1,
650.00,9.33613510E+1,
651.00,7.27104721E+1,
652.00,6.90521240E+1,
653.00,1.00432632E+2,
654.00,5.73446884E+1,
655.00,7.11834335E+1,
656.00,1.03340569E+2,
657.00,1.13632690E+2,
658.00,6.89455109E+1,
659.00,1.85662212E+1,
660.00,8.90242996E+1,
661.00,3.78398590E+1,
662.00,9.08820343E+1,
663.00,1.01699524E+2,
664.00,2.93772354E+1,
665.00,1.18762444E+2,
666.00,6.00291672E+1,
667.00,5.05863724E+1,
668.00,7.17016449E+1,
669.00,7.77860031E+1,
670.00,4.19426613E+1,
671.00,8.48645706E+1,
672.00,5.37410469E+1,
673.00,1.63370590E+1,
674.00,3.85683861E+1,
675.00,8.92730865E+1,
676.00,3.95984459E+1,
677.00,6.29866714E+1,
678.00,5.21876335E+1,
679.00,1.17620230E+1,
680.00,4.79424782E+1,
681.00,9.72143021E+1,
682.00,6.78265610E+1,
683.00,1.25059566E+1,
684.00,9.51268845E+1,
685.00,1.93107262E+1,
686.00,6.52683716E+1,
687.00,2.64644814E+1,
688.00,4.02973785E+1,
689.00,4.09369164E+1,
690.00,4.14980774E+1,
691.00,7.01418114E+0,
692.00,4.27012024E+1,
693.00,4.33846054E+1,
694.00,3.67147141E+1,
695.00,1.04348389E+2,
696.00,6.04978142E+1,
697.00,1.53457899E+1,
698.00,3.11587887E+1,
699.00,5.53614769E+1,
700.00,1.60515480E+1,
